[00:02:24] *** Joins: rgherdt__ (~rgherdt@2a01:598:d036:698b:4f59:ac7:3ad8:3320)
[00:02:31] *** Joins: gaqwas (~john@dynamic-095-118-123-231.95.118.pool.telefonica.de)
[00:04:55] *** Quits: rgherdt_ (~rgherdt@2a01:598:d038:d67f:f4bd:95ae:c30:7222) (Ping timeout: 250 seconds)
[00:05:46] *** Quits: scymtym (~user@2001:638:504:20e6:6ac3:87e0:e782:f3fc) (Ping timeout: 260 seconds)
[00:05:48] *** Quits: Brucio-92 (~Brucio-92@2001:638:504:20e6:6ac3:87e0:e782:f3fc) (Ping timeout: 250 seconds)
[00:16:33] *** Quits: gaqwas (~john@dynamic-095-118-123-231.95.118.pool.telefonica.de) (Remote host closed the connection)
[00:19:02] *** Quits: tophullyte (tophullyte@gateway/vpn/protonvpn/tophullyte) (Quit: Leaving)
[00:21:21] *** Quits: aeth (~aeth@user/aeth) (Ping timeout: 256 seconds)
[00:22:50] *** Joins: aeth (~aeth@user/aeth)
[00:25:18] *** Quits: attila_lendvai (~alendvai@2a02:ab88:3710:7c80:9130:5abf:96b3:dc0c) (Ping timeout: 250 seconds)
[00:30:16] *** Joins: aartaka (aartaka@gateway/vpn/protonvpn/aartaka)
[00:41:32] *** Quits: stylewarning (sid241636@id-241636.helmsley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: yottabyte (uid195082@id-195082.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: santiagopim (~user@84.78.243.45) (*.net *.split)
[00:41:32] *** Quits: dilated_dinosaur (~dino@cpc1-bexl9-2-0-cust231.2-3.cable.virginm.net) (*.net *.split)
[00:41:32] *** Quits: amb007 (~a_bakic@102.215.76.86.rev.sfr.net) (*.net *.split)
[00:41:32] *** Quits: jackdaniel (~jack@turtleware.eu) (*.net *.split)
[00:41:32] *** Quits: Noisytoot (~noisytoot@sourcehut/user/noisytoot) (*.net *.split)
[00:41:32] *** Quits: Guest74 (~Guest74@modemcable110.164-177-173.mc.videotron.ca) (*.net *.split)
[00:41:32] *** Quits: masinter (~masinter@c-73-158-116-21.hsd1.ca.comcast.net) (*.net *.split)
[00:41:32] *** Quits: ullbeking_ (sid5364@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: tyson2 (~user@bras-base-toroon0624w-grc-17-50-101-91-98.dsl.bell.ca) (*.net *.split)
[00:41:32] *** Quits: Bike (~Glossina@71.69.170.70) (*.net *.split)
[00:41:32] *** Quits: Posterdati (~posterdat@host-87-19-166-231.retail.telecomitalia.it) (*.net *.split)
[00:41:32] *** Quits: artchad (~user@public-gprs218803.centertel.pl) (*.net *.split)
[00:41:33] *** Quits: pve (~pve@178-55-110-170.bb.dnainternet.fi) (*.net *.split)
[00:41:33] *** Quits: utis (~utis@84.208.160.26) (*.net *.split)
[00:41:33] *** Quits: Alfr (~Alfr@user/alfr) (*.net *.split)
[00:41:33] *** Quits: mister_m (~user@c-73-110-154-209.hsd1.il.comcast.net) (*.net *.split)
[00:41:33] *** Quits: Colleen (~fermion@supersolid.equilibrium.tymoon.eu) (*.net *.split)
[00:41:33] *** Quits: Devon (~devon@c-24-2-157-5.hsd1.ma.comcast.net) (*.net *.split)
[00:41:33] *** Quits: dbotton (sid492350@lymington.irccloud.com) (*.net *.split)
[00:41:33] *** Quits: perrierjouet (~perrier-j@modemcable012.251-130-66.mc.videotron.ca) (*.net *.split)
[00:41:33] *** Quits: froggey (~froggey@li1514-95.members.linode.com) (*.net *.split)
[00:41:33] *** Quits: mgxm_ (~mgxm@user/mgxm) (*.net *.split)
