[00:01:33] <euouae> This may be someone that got caught into that whole 'feds on your tail' thing, although their case has not been resolved before a judge yet https://nymag.com/intelligencer/2021/08/bitcoin-ian-freeman-fbi-doj.html
[00:03:35] <euouae> Mesh networks, right. It's cool. 
[00:03:54] *** Joins: dude12312414 (~test@gateway/tor-sasl/dude12312414)
[00:08:39] <sshine> euouae, I can't find any articles about this any more, but I once read about mesh networks of certain cities, not sure if it was in Cuba or in South America.
[00:09:30] <euouae> Ideally it would be something on a phone
[00:09:55] <euouae> at least for what I'm thinking
[00:10:29] <euouae> yeah w/e. I don't know :) 
[00:10:36] * euouae goes back to studying basic stuff
[00:10:44] <sshine> https://urbanomnibus.net/2019/10/building-the-peoples-internet/ -- something like this.
[00:11:15] * sshine goes back to studying non-basic stuff -_-
[00:15:01] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Quit: https://quassel-irc.org - Chat comfortably. Anywhere.)
[00:16:41] *** Joins: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net)
[00:17:10] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Client Quit)
[00:18:47] *** Joins: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net)
[00:22:13] *** Joins: ssiyad (~ssiyad@user/ssiyad)
[00:25:06] *** Quits: cryomon_ (~user@gateway/tor-sasl/cryomon) (Remote host closed the connection)
[00:25:19] *** Joins: sgt_chuckles (~sgt_chuck@pool-71-190-209-205.nycmny.fios.verizon.net)
[00:25:51] *** Joins: cryomon_ (~user@gateway/tor-sasl/cryomon)
[00:41:32] *** Quits: elichai2 (sid212594@id-212594.hampstead.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: pdg (sid395042@id-395042.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: deusexbeer (~hedeo@37-146-227-150.broadband.corbina.ru) (*.net *.split)
[00:41:32] *** Quits: SlimmyJimmy (blank@user/slimmyjimmy) (*.net *.split)
[00:41:32] *** Quits: aleck1 (~aleck@user/aleck) (*.net *.split)
[00:41:32] *** Quits: byteskeptical (~amnesia@user/byteskeptical) (*.net *.split)
[00:41:32] *** Quits: Mutsuhito_ (sid13530@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: lithium_pt (~lithiumpt@178.239.165.92) (*.net *.split)
[00:41:32] *** Quits: abraham (~abraham@143.244.185.86) (*.net *.split)
[00:41:33] *** Quits: joe7057 (~joseph@wnpgmb016qw-ds01-2-119.dynamic.bellmts.net) (*.net *.split)
[00:41:33] *** Quits: Wulf (~Wulf@user/wulf) (*.net *.split)
[00:41:33] *** Quits: The_Tablet (~tablet@user/the-tablet) (*.net *.split)
[00:41:33] *** Quits: TheCoffeMaker (~TheCoffeM@user/thecoffemaker) (*.net *.split)
