[00:00:34] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[00:21:43] <vaio> hello, is there a way to find out which plugin is missing when `docker service scale` returns `no suitable node (missing plugin on 3 nodes)`
[00:22:28] *** Joins: DoofusCanadensis (~DoofusCan@node-1w7jr9yercvgex5z93pzd0psq.ipv6.telus.net)
[00:23:33] <vaio> i'm trying to run a swarm with nfs mounts; i installed the `docker-volume-netshare` plugin on all nodes, service is up and running, and the docker-compose file works fine when not running in swarm mode
[00:24:57] <vaio> what i can find on https://github.com/docker/swarmkit/issues/2392 isn't really helping; or i'm missing something..
[00:25:19] *** Joins: sgt_chuckles (~sgt_chuck@pool-71-190-209-205.nycmny.fios.verizon.net)
[00:25:35] *** Quits: Hackerpcs (~user@user/hackerpcs) (Quit: Hackerpcs)
[00:25:47] *** Joins: dfee_ (~dfee@162-227-164-101.lightspeed.sntcca.sbcglobal.net)
[00:25:58] *** Quits: dan01 (~dan01@2a02:2f0f:311c:1500:b44a:f768:9ead:27f) (Read error: Connection reset by peer)
[00:27:17] *** Quits: dfee (~dfee@162-227-164-101.lightspeed.sntcca.sbcglobal.net) (Ping timeout: 240 seconds)
[00:27:55] *** Joins: Hackerpcs (~user@user/hackerpcs)
[00:28:40] *** Quits: Hackerpcs (~user@user/hackerpcs) (Max SendQ exceeded)
[00:29:40] *** Joins: Hackerpcs (~user@user/hackerpcs)
[00:30:20] <Sayona> Hello
[00:30:40] *** Quits: tiferrei (~tiferrei@user/tiferrei) (Remote host closed the connection)
[00:30:58] *** Joins: tiferrei (~tiferrei@user/tiferrei)
[00:31:13] *** dfee_ is now known as dfee
[00:41:32] *** Quits: Exterminador (sid116151@user/pegasus) (*.net *.split)
[00:41:32] *** Quits: dmj` (sid72307@id-72307.hampstead.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: trevors (~trevors@user/trevors) (*.net *.split)
[00:41:32] *** Quits: michele (~eraser@user/michele) (*.net *.split)
[00:41:32] *** Quits: wootehfoot (~wootehfoo@user/wootehfoot) (*.net *.split)
[00:41:32] *** Quits: OPK (~OPK@user/opk) (*.net *.split)
[00:41:32] *** Quits: fercell (~ferr@185.65.50.97) (*.net *.split)
[00:41:32] *** Quits: ultima (~ultima@23.81.113.229) (*.net *.split)
[00:41:32] *** Quits: keypusher (keypusher@user/keypusher) (*.net *.split)
[00:41:32] *** Quits: millido (~millido@84.210.150.128) (*.net *.split)
[00:41:32] *** Quits: bouncy (~ben@user/benoit) (*.net *.split)
[00:41:33] *** Quits: justyb11 (~justyb@64.253.212.72) (*.net *.split)
[00:41:33] *** Quits: waldo323_ (~waldo323@d14-69-96-170.try.wideopenwest.com) (*.net *.split)
[00:41:33] *** Quits: n9nes (~n9nes@user/n9nes) (*.net *.split)
[00:41:33] *** Quits: mossman93 (~quassel@user/mossman93) (*.net *.split)
[00:41:33] *** Quits: pfeilmann (~pfeilmann@c3po.mahr.pw) (*.net *.split)
[00:41:33] *** Quits: ajfriesen70 (~ajfriesen@cable-78-35-98-50.nc.de) (*.net *.split)
[00:41:33] *** Quits: Tach (~Tach@user/tach) (*.net *.split)
[00:41:33] *** Quits: denningsrogue (~denningsr@98.97.131.238) (*.net *.split)
[00:41:33] *** Quits: stutz (~stutz@user/stutz) (*.net *.split)
[00:41:33] *** Quits: TheFatherMind (~TheFather@user/thefathermind) (*.net *.split)
[00:41:33] *** Quits: TheCoffeMaker (~TheCoffeM@user/thecoffemaker) (*.net *.split)
[00:41:33] *** Quits: Keridos (~Keridos@ironhide.de) (*.net *.split)
[00:41:33] *** Quits: Tabmow (~tabmow@user/tabmow) (*.net *.split)
[00:41:33] *** Quits: Leonarbro (~Leonet@user/leonarbro) (*.net *.split)
[00:41:33] *** Quits: infernix (~nix@spirit.infernix.net) (*.net *.split)
[00:41:33] *** Quits: axisys (~axisys@ec2-52-207-123-244.compute-1.amazonaws.com) (*.net *.split)
[00:41:33] *** Quits: samuelbernardo (~samuelber@nata01.lip.pt) (*.net *.split)
[00:41:33] *** Quits: Nnnavd (~Nnavd@ec2-34-220-224-214.us-west-2.compute.amazonaws.com) (*.net *.split)
[00:41:33] *** Quits: Joel (~jjshoe@user/joel) (*.net *.split)
[00:41:33] *** Quits: [diablo] (~diablo]@user/diablo/x-9068044) (*.net *.split)
[00:41:33] *** Quits: sebastianos (~sebastian@user/sebastianos) (*.net *.split)
[00:41:33] *** Quits: PaulFranz (~pfranz@c-73-187-178-34.hsd1.pa.comcast.net) (*.net *.split)
[00:41:33] *** Quits: esotericnonsense (~esotericn@static.116.206.47.78.clients.your-server.de) (*.net *.split)
[00:41:33] *** Quits: mavhq (~quassel@mapp-14-b2-v4wan-161519-cust401.vm15.cable.virginm.net) (*.net *.split)
[00:41:33] *** Quits: dskull (~dskull@user/dskull) (*.net *.split)
[00:41:33] *** Quits: martums5 (~martums@user/martums) (*.net *.split)
[00:41:33] *** Quits: adhawkins (~adhawkins@user/adhawkins) (*.net *.split)
[00:41:33] *** Quits: Aavar (aavar@111.92-221-61.customer.lyse.net) (*.net *.split)
[00:41:33] *** Quits: justGhost (~justache@user/justache) (*.net *.split)
[00:41:33] *** Quits: zuQe8 (~zuQe8@cpc105060-sgyl40-2-0-cust136.18-2.cable.virginm.net) (*.net *.split)
[00:41:33] *** Quits: dabbill (~dabbill@174.31.247.40) (*.net *.split)
[00:41:33] *** Quits: Forkk (~forkk@li926-228.members.linode.com) (*.net *.split)
[00:41:33] *** Quits: L0j1k (~L0j1k@user/l0j1k) (*.net *.split)
[00:41:33] *** Quits: dodo (~dodo@user/dodo) (*.net *.split)
[00:41:33] *** Quits: coc0nut (~coc0nut@user/coc0nut) (*.net *.split)
[00:41:33] *** Quits: chodonne (~chodonne@ec2-3-18-56-136.us-east-2.compute.amazonaws.com) (*.net *.split)
[00:41:33] *** Quits: philivey9426 (~polarizin@188.166.72.81) (*.net *.split)
[00:41:33] *** Quits: cryocaustik7 (~cryocaust@user/cryocaustik) (*.net *.split)
[00:41:34] *** Quits: greatgatsby__ (~greatgats@bras-base-toroon0411w-grc-52-142-114-106-7.dsl.bell.ca) (*.net *.split)
