[00:02:01] *** Joins: Bounga (~nico@82-65-32-175.subs.proxad.net)
[00:03:29] *** Quits: yauhsien (~yauhsien@61-231-58-114.dynamic-ip.hinet.net) (Ping timeout: 256 seconds)
[00:06:55] *** Joins: andrhua (~andrhua@31.134.187.8)
[00:07:39] *** Quits: phaleth (~phaleth@user/phaleth) (Quit: phaleth)
[00:16:18] *** Joins: kvn_ (~weechat@cpc115982-dals23-2-0-cust605.20-2.cable.virginm.net)
[00:17:33] *** Joins: mahmutov (~mahmutov@5.176.50.7)
[00:30:30] *** Quits: parv (~quass@user/parv) (Quit: parv)
[00:54:08] *** Joins: mgibowski (~mgibowski@50.red-83-63-128.staticip.rima-tde.net)
[00:56:45] *** Quits: braulio-bz (~manjaro-u@user/brauliobz) (Ping timeout: 256 seconds)
[00:59:40] *** Quits: mgibowski (~mgibowski@50.red-83-63-128.staticip.rima-tde.net) (Ping timeout: 264 seconds)
[01:09:36] *** Joins: Caerus (~Caerus@190.113.111.43)
[01:10:14] *** Quits: cro[m] (~orcmatrix@2001:470:69fc:105::1:2f1b) (*.net *.split)
[01:10:15] *** Quits: kvn_ (~weechat@cpc115982-dals23-2-0-cust605.20-2.cable.virginm.net) (*.net *.split)
[01:10:15] *** Quits: andrhua (~andrhua@31.134.187.8) (*.net *.split)
[01:10:15] *** Quits: sgn (~sgn@user/sgn) (*.net *.split)
[01:10:15] *** Quits: cursey (~cursey@user/cursey) (*.net *.split)
[01:10:15] *** Quits: ihabunek (~ihabunek@bezdomni.net) (*.net *.split)
[01:10:16] *** Quits: Tanger (~Donger@signiq.cust.bdr01.per02.wa.vocus.net.au) (*.net *.split)
[01:10:16] *** Quits: blambi (~blambi@c-c11e524e.011-113-67626725.bbcust.telenor.se) (*.net *.split)
[01:10:16] *** Quits: adrianhblack[m] (~adrianhbl@2001:470:69fc:105::1:30c9) (*.net *.split)
[01:10:16] *** Quits: drincruz (drincruz@2607:5300:203:3f52::19) (*.net *.split)
[01:10:16] *** Quits: esainane (esainane@antihype.space) (*.net *.split)
[01:10:16] *** Quits: azazel (~azazel@orphu.arstecnica.it) (*.net *.split)
[01:10:17] *** Quits: val (~val@limnoria/val) (*.net *.split)
[01:10:17] *** Quits: voegelas (~voegelas@www.andreasvoegele.com) (*.net *.split)
[01:10:17] *** Quits: sorentwo (sid39488@id-39488.tinside.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: ehamberg (sid18208@id-18208.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: ericentin__ (sid134418@id-134418.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: fhunleth (sid79501@id-79501.lymington.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: eproxus_____ (sid39465@id-39465.ilkley.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: ley_ (sid320610@id-320610.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: mhmd (~mhmd@37.48.90.208) (*.net *.split)
[01:10:17] *** Quits: creature (~alex@198.98.114.33) (*.net *.split)
[01:10:17] *** Quits: rbino (~rbino@rbino.com) (*.net *.split)
[01:10:17] *** Quits: kwmiebach (sid16855@id-16855.tinside.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: mjones (sid6844@id-6844.helmsley.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: alisdair (sid7471@id-7471.ilkley.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: jaydoane (sid66455@id-66455.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: asonge (sid129041@id-129041.uxbridge.irccloud.com) (*.net *.split)
