[00:01:02] <Arsimael> Atsuko, I already< tried this. Here's the fun part: Even if I call ffmpeg with "ffmpeg -blah >/dev/null" it still shows that debug/verbose stuff. If I run it outside of the script: No problem at all.
[00:07:05] <another|> what stuff?
[00:13:29] *** Joins: Gaboradon (~Gaboradon@user/Gaboradon)
[00:15:01] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Quit: https://quassel-irc.org - Chat comfortably. Anywhere.)
[00:16:41] *** Joins: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net)
[00:17:10] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Client Quit)
[00:18:47] *** Joins: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net)
[00:19:25] <Arsimael> another|, https://it-native.de/hevc_debug.mkv
[00:25:35] *** Quits: Hackerpcs (~user@user/hackerpcs) (Quit: Hackerpcs)
[00:25:59] *** Quits: Blacker47 (~Blacker47@user/blacker47) (Quit: Life is short. Get a V.90 modem fast!)
[00:27:53] *** Joins: Hackerpcs (~user@user/hackerpcs)
[00:28:40] *** Quits: Hackerpcs (~user@user/hackerpcs) (Max SendQ exceeded)
[00:29:38] *** Joins: Hackerpcs (~user@user/hackerpcs)
[00:29:53] <c_14> Arsimael:  ffmpeg output is on stderr not stdout so it'd be 2>/dev/null . Also that looks like you've set the loglevel to trace. Make sure you've set -v quiet and maybe also set -nostdin
[00:41:32] *** Quits: Nick_d0gb0y (sid467444@id-467444.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: video2go (sid515994@id-515994.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: bixo_ (~bixo@190.200.253.127) (*.net *.split)
[00:41:32] *** Quits: orthoplex64 (~crm@70.120.0.94) (*.net *.split)
[00:41:32] *** Quits: wootehfoot (~wootehfoo@user/wootehfoot) (*.net *.split)
[00:41:32] *** Quits: angular_mike_ (sid45533@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: ullbeking_ (sid5364@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: wyatt8740 (~wyatt8740@149.164.111.65) (*.net *.split)
[00:41:32] *** Quits: djk (~Thunderbi@pool-72-76-214-169.nwrknj.fios.verizon.net) (*.net *.split)
[00:41:32] *** Quits: keypusher (keypusher@user/keypusher) (*.net *.split)
[00:41:32] *** Quits: theracermaster (~theracerm@52.79.209.35.bc.googleusercontent.com) (*.net *.split)
[00:41:32] *** Quits: someuser (~user@197.54.43.98) (*.net *.split)
[00:41:32] *** Quits: bencoh (~bencoh@user/bencoh) (*.net *.split)
