[00:08:46] *** Joins: Codaraxis (~Codaraxis@user/codaraxis)
[00:20:51] *** Joins: Pickchea (~private@user/pickchea)
[00:22:04] *** Quits: andrzejku (~andrzejku@45-11-60-125.ip4.greenlan.pl) (Read error: Connection reset by peer)
[00:26:57] <dragestil> https://batsov.com/articles/2021/11/28/firefox-is-the-only-alternative/
[00:27:28] *** Joins: codecolla (~codecolla@176-156-213-239.abo.bbox.fr)
[00:30:07] *** Quits: orbatos_ (~orbatos@user/orbatos) (Ping timeout: 256 seconds)
[00:30:48] *** Quits: GNUmoon (~GNUmoon@gateway/tor-sasl/gnumoon) (Ping timeout: 276 seconds)
[00:31:46] *** guerby_ is now known as guerby
[00:33:52] *** Quits: saintwatermelon (~root@176.120.118.91) (Ping timeout: 264 seconds)
[00:34:39] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Ping timeout: 256 seconds)
[00:35:10] *** Quits: codecolla (~codecolla@176-156-213-239.abo.bbox.fr) (Quit: Leaving)
[00:35:40] *** Joins: codecolla (~codecolla@176-156-213-239.abo.bbox.fr)
[00:39:32] *** Quits: codecolla (~codecolla@176-156-213-239.abo.bbox.fr) (Remote host closed the connection)
[00:39:49] *** Joins: codecolla (~codecolla@176-156-213-239.abo.bbox.fr)
[00:51:28] *** Joins: Codaraxis_ (~Codaraxis@user/codaraxis)
[00:55:29] *** Quits: Codaraxis (~Codaraxis@user/codaraxis) (Ping timeout: 252 seconds)
[00:57:31] *** Joins: bbbbbb (~peppbel@c-73-221-241-101.hsd1.wa.comcast.net)
[01:00:35] *** Quits: Pickchea (~private@user/pickchea) (Quit: Leaving)
[01:06:52] *** Quits: KUrare (~KUrare@user/kurare) (Ping timeout: 264 seconds)
[01:10:13] *** Quits: bbbbbb (~peppbel@c-73-221-241-101.hsd1.wa.comcast.net) (*.net *.split)
[01:10:14] *** Quits: Announ (~announ@fsf/member/announ) (*.net *.split)
[01:10:14] *** Quits: cosimone (~user@93-47-231-139.ip115.fastwebnet.it) (*.net *.split)
[01:10:14] *** Quits: Seirdy (~Seirdy@sourcehut/user/seirdy) (*.net *.split)
[01:10:14] *** Quits: shr2 (~shrysr@user/shrysr) (*.net *.split)
[01:10:14] *** Quits: guerby (~guerby@ip165.tetaneutral.net) (*.net *.split)
[01:10:14] *** Quits: chlvr (~chlvr@li1384-148.members.linode.com) (*.net *.split)
[01:10:14] *** Quits: wolftune (~aaron@97-120-55-127.ptld.qwest.net) (*.net *.split)
[01:10:14] *** Quits: Pixi_ (~Pixi@user/pixi) (*.net *.split)
[01:10:14] *** Quits: iShareFreedom (~iShareFre@user/isharefreedom) (*.net *.split)
[01:10:14] *** Quits: img (~img@user/img) (*.net *.split)
[01:10:14] *** Quits: psymin (~psymin@user/psymin) (*.net *.split)
[01:10:14] *** Quits: pipapipapipo (~peppbel@c-73-221-241-101.hsd1.wa.comcast.net) (*.net *.split)
[01:10:14] *** Quits: koffeinfriedhof (~koffeinfr@ubuntuusers/moderation/koffeinfriedhof) (*.net *.split)
[01:10:14] *** Quits: martums (~martums@user/martums) (*.net *.split)
[01:10:15] *** Quits: mimi89999 (cb2cbfa643@89-72-190-170.dynamic.chello.pl) (*.net *.split)
[01:10:15] *** Quits: janubo (~janubo@189.1.56.234) (*.net *.split)
[01:10:15] *** Quits: Linux_77 (~7Linux7@186.233.182.193) (*.net *.split)
[01:10:15] *** Quits: chuangzhu (~chuangzhu@user/chuangzhu) (*.net *.split)
[01:10:15] *** Quits: maknho (~maknho@user/maknho) (*.net *.split)
[01:10:15] *** Quits: asdflkj_sh (asdflkj@bsdforall.org) (*.net *.split)
[01:10:15] *** Quits: lorimer (~lorimer@user/lorimer) (*.net *.split)
[01:10:15] *** Quits: neox (8fafd43faa@user/neox) (*.net *.split)
[01:10:15] *** Quits: Haaninjo (~anders@fsf/member/Haaninjo) (*.net *.split)
[01:10:15] *** Quits: psyxopompos (~psyxopomp@user/psyxopompos) (*.net *.split)
[01:10:15] *** Quits: chripell (~chripell@147.80.76.34.bc.googleusercontent.com) (*.net *.split)
[01:10:15] *** Quits: azizLIGHT (~azizLIGHT@user/azizlight) (*.net *.split)
[01:10:15] *** Quits: birkoff (birkoff@user/birkoff) (*.net *.split)
[01:10:15] *** Quits: [R]x (~Positive@user/rx/x-1245542) (*.net *.split)
[01:10:15] *** Quits: daniel-k (~daniel-k@fsf/emeritus/daniel-k) (*.net *.split)
[01:10:15] *** Quits: sajith (~sajith@user/sajith) (*.net *.split)
[01:10:15] *** Quits: tyil (~root@user/tyil) (*.net *.split)
[01:10:15] *** Quits: undeclared (nullx@user/undeclared) (*.net *.split)
[01:10:16] *** Quits: lethu (~lethu@user/lethu) (*.net *.split)
[01:10:16] *** Quits: domve (~dom@user/domve) (*.net *.split)
[01:10:16] *** Quits: oaken-source (~oaken-sou@user/oaken-source) (*.net *.split)
