[06:08:40] <Abhi[m]> Forwarded from Hacker News:
[06:08:40] <Abhi[m]> > YouTube-dl is under new management, will be happy to see new PRs
[06:08:40] <Abhi[m]> > Article, Comments
[06:09:14] <Abhi[m]> Ps - the only reason I use tg is due to channels like this at one place and chats also
[06:09:25] <Abhi[m]> Everything at one place
[07:31:40] *** Quits: zardian[m] (~zardi@2001:470:69fc:105::1:4444) (K-Lined)
[07:31:40] *** Quits: M-------[m] (~telegram1@2001:470:69fc:105::1:4e44) (K-Lined)
[07:31:40] *** Quits: Hemishhehim[m]1 (~telegram1@2001:470:69fc:105::1:4ca1) (K-Lined)
[07:31:40] *** Quits: Charlotte[m] (~telegram2@2001:470:69fc:105::1:4e11) (K-Lined)
[07:31:40] *** Quits: SaqibMir[m] (~telegram9@2001:470:69fc:105::1:72d1) (K-Lined)
[07:31:40] *** Quits: usrbinenvchad[m] (~telegram6@2001:470:69fc:105::1:725e) (K-Lined)
[07:31:40] *** Quits: Arya0x41414141[m (~telegram9@2001:470:69fc:105::1:7061) (K-Lined)
[07:31:40] *** Quits: telegram_7876260 (~telegram7@2001:470:69fc:105::1:6faa) (K-Lined)
[07:31:40] *** Quits: ramram[m] (~telegram1@2001:470:69fc:105::e28b) (K-Lined)
[07:31:40] *** Quits: PriyanshuRai[m] (~telegram1@2001:470:69fc:105::1:3cda) (K-Lined)
[07:31:40] *** Quits: MrUnknown[m] (~telegram7@2001:470:69fc:105::1:593e) (K-Lined)
[07:31:40] *** Quits: klimi[m]1 (~telegram1@2001:470:69fc:105::df82) (K-Lined)
[07:31:40] *** Quits: muzician[m] (~muzicianm@2001:470:69fc:105::1:6bd7) (K-Lined)
[07:31:40] *** Quits: V8V88V8V88[m] (~v8v88v8v8@2001:470:69fc:105::1:3577) (K-Lined)
[07:31:40] *** Quits: Ranger[m] (~telegram1@2001:470:69fc:105::e2ca) (K-Lined)
[07:31:40] *** Quits: mdbilal[m] (~mdbilaltc@2001:470:69fc:105::c37d) (K-Lined)
[07:31:40] *** Quits: binzsh[m] (~telegram9@2001:470:69fc:105::1:3f30) (K-Lined)
