[00:08:23] *** Quits: cuoops (~cuoops@user/cuoops) (Remote host closed the connection)
[00:08:36] *** Joins: cuoops (~cuoops@user/cuoops)
[00:15:01] *** Quits: arch3r (~ben@185.66.194.78) (Ping timeout: 240 seconds)
[00:15:43] *** Joins: arch3r (~ben@185.66.194.78)
[00:16:55] *** Quits: troycurtisjr[m] (~troycurti@2001:470:69fc:105::f156) (Ping timeout: 268 seconds)
[00:17:25] *** Quits: Reventlov[m] (~rgrunblam@2001:470:69fc:105::b26) (Ping timeout: 240 seconds)
[00:17:25] *** Quits: mbr0wn[m] (~mbr0wngnu@2001:470:69fc:105::e175) (Ping timeout: 240 seconds)
[00:17:25] *** Quits: lab91932[m] (~lab91932g@2001:470:69fc:105::1:3f2e) (Ping timeout: 240 seconds)
[00:17:26] *** Quits: courtarro[m] (~courtarro@2001:470:69fc:105::1:32df) (Ping timeout: 245 seconds)
[00:17:26] *** Quits: dsorber[m] (~dsorbergn@2001:470:69fc:105::e13a) (Ping timeout: 245 seconds)
[00:17:32] *** Quits: halfy (~halfy@goodboy/halfy) (Ping timeout: 268 seconds)
[00:17:32] *** Quits: flynn378[m] (~flynn378g@2001:470:69fc:105::e145) (Ping timeout: 240 seconds)
[00:17:32] *** Quits: eniac[m] (~eniacgnur@2001:470:69fc:105::1:54) (Ping timeout: 240 seconds)
[00:17:32] *** Quits: ldplayer[m] (~ldplayerg@2001:470:69fc:105::1:2a74) (Ping timeout: 240 seconds)
[00:17:32] *** Quits: thoth[m] (~thoth1010@2001:470:69fc:105::20c2) (Ping timeout: 240 seconds)
[00:17:32] *** Quits: mk[m]12 (~mkgnuradi@2001:470:69fc:105::1:4106) (Ping timeout: 240 seconds)
[00:17:32] *** Quits: faithruse[m] (~faithruse@2001:470:69fc:105::1:3e68) (Ping timeout: 240 seconds)
[00:17:35] *** Quits: adrianlam0ho[m] (~adrianlam@2001:470:69fc:105::1:4781) (Ping timeout: 250 seconds)
[00:17:35] *** Quits: bastibl[m] (~bastiblgn@2001:470:69fc:105::e125) (Ping timeout: 250 seconds)
[00:17:35] *** Quits: mwk088[m] (~mwk088gnu@2001:470:69fc:105::f040) (Ping timeout: 250 seconds)
[00:17:35] *** Quits: wanliu[m] (~wanliugnu@2001:470:69fc:105::e1b1) (Ping timeout: 250 seconds)
[00:17:35] *** Quits: neelpandeya[m] (~neelpande@2001:470:69fc:105::e17f) (Ping timeout: 250 seconds)
[00:17:35] *** Quits: GVardakis[m] (~vardakism@2001:470:69fc:105::2e4a) (Ping timeout: 250 seconds)
[00:17:35] *** Quits: DerekKozel[m] (~dkozelgnu@2001:470:69fc:105::2f14) (Ping timeout: 250 seconds)
[00:17:38] *** Quits: pope[m] (~popegnura@2001:470:69fc:105::1:4915) (Ping timeout: 252 seconds)
[00:17:38] *** Quits: broadcrap[m] (~broadcrap@2001:470:69fc:105::e756) (Ping timeout: 252 seconds)
[00:17:38] *** Quits: rsundar[m] (~rsundargn@2001:470:69fc:105::ebe8) (Ping timeout: 252 seconds)
[00:17:38] *** Quits: kraxel[m] (~kraxelgnu@2001:470:69fc:105::1:2c89) (Ping timeout: 252 seconds)
[00:17:38] *** Quits: ChrisKocks[m] (~cgkocksgn@2001:470:69fc:105::ff33) (Ping timeout: 252 seconds)
[00:17:38] *** Quits: kristoff-on1arf[ (~krbonnegn@2001:470:69fc:105::eae9) (Ping timeout: 252 seconds)
[00:17:38] *** Quits: HkonVgsether[m] (~haakovgnu@2001:470:69fc:105::e14e) (Ping timeout: 252 seconds)
[00:17:38] *** Quits: citizenrich[m] (~citizenri@2001:470:69fc:105::e76f) (Ping timeout: 252 seconds)
[00:17:47] *** Quits: baronsaturday[m] (~baronsatu@2001:470:69fc:105::1:3148) (Ping timeout: 260 seconds)
[00:17:47] *** Quits: melfvelin[m] (~melfvelin@2001:470:69fc:105::eb37) (Ping timeout: 260 seconds)
[00:17:47] *** Quits: flash[m] (~flashgnur@2001:470:69fc:105::e302) (Ping timeout: 260 seconds)
[00:17:47] *** Quits: miek[m]1 (~miekgnura@2001:470:69fc:105::fe35) (Ping timeout: 260 seconds)
[00:17:47] *** Quits: idrey[m] (~idreygnur@2001:470:69fc:105::1:4860) (Ping timeout: 250 seconds)
[00:17:47] *** Quits: anderskaloer[m] (~anderskal@2001:470:69fc:105::2e24) (Ping timeout: 250 seconds)
[00:17:47] *** Quits: dreamerchrisMO[m (~dreamerch@2001:470:69fc:105::795c) (Ping timeout: 250 seconds)
[00:17:48] *** Quits: JDemel[m] (~johannesd@2001:470:69fc:105::e15d) (Ping timeout: 250 seconds)
[00:17:48] *** Quits: vladis[m] (~vladisgnu@2001:470:69fc:105::1:3213) (Ping timeout: 250 seconds)
[00:17:48] *** Quits: Sam[m]123456 (~samwhitin@2001:470:69fc:105::e217) (Ping timeout: 250 seconds)
[00:17:51] *** Quits: AdaBull[m] (~alexander@2001:470:69fc:105::e702) (Ping timeout: 245 seconds)
[00:17:51] *** Quits: jsallay[m] (~jsallaygn@2001:470:69fc:105::e161) (Ping timeout: 245 seconds)
[00:17:57] *** Quits: irfan[m] (~irfantari@2001:470:69fc:105::1:4815) (Ping timeout: 265 seconds)
[00:18:01] *** Quits: ozgun[m] (~ozgungnur@2001:470:69fc:105::1:4961) (Ping timeout: 250 seconds)
[00:18:01] *** Quits: hfmoodmodulation (~hfmoodmod@2001:470:69fc:105::1:3354) (Ping timeout: 250 seconds)
[00:18:01] *** Quits: psydruid (~psydruid@2001:470:69fc:105::6fd) (Ping timeout: 250 seconds)
[00:18:01] *** Quits: wcoburn[m] (~wcoburngn@2001:470:69fc:105::1:961) (Ping timeout: 250 seconds)
[00:18:01] *** Quits: kd8oxt[m] (~kd8oxtgnu@2001:470:69fc:105::1:2af1) (Ping timeout: 250 seconds)
[00:18:01] *** Quits: Yamakaja[m] (~yamakajag@2001:470:69fc:105::e1b5) (Ping timeout: 250 seconds)
[00:18:01] *** Quits: mait[m] (~maitrforg@2001:470:69fc:105::e170) (Ping timeout: 250 seconds)
[00:18:01] *** Quits: matt_mills[m] (~f0urtyfiv@2001:470:69fc:105::e142) (Ping timeout: 250 seconds)
