[00:02:00] *** Quits: ar3itrary (~hacker@2a03:4000:6:8177:2::1) (Quit: No Ping reply in 180 seconds.)
[00:03:09] *** Joins: ar3itrary (~hacker@2a03:4000:6:8177:2::1)
[00:30:04] *** Quits: Zeklyn- (~Zeklyn@zeklyn.net) (Quit: %VPS Died%)
[00:30:25] *** Joins: Zeklyn_ (~Zeklyn@zeklyn.net)
[00:41:32] *** Quits: rmp2 (sid246393@id-246393.helmsley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: JSharp (sid4580@id-4580.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: kaiomai (sid496890@id-496890.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: crc (sid2647@id-2647.uxbridge.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: torshido (sid249474@fedora/torshido) (*.net *.split)
[00:41:32] *** Quits: palomino (sid111977@user/palomino) (*.net *.split)
[00:41:32] *** Quits: kendfinger (sid12236@id-12236.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: symetrix (sid7360@id-7360.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: Exterminador (sid116151@user/pegasus) (*.net *.split)
[00:41:32] *** Quits: bungalow (sid253491@ansible/owner/gundalow) (*.net *.split)
[00:41:32] *** Quits: dm (sid41719@user/dman) (*.net *.split)
[00:41:32] *** Quits: nirojan (sid365686@user/nirojan) (*.net *.split)
[00:41:32] *** Quits: Kemayo (sid37658@mediawiki/dlynch-wmf) (*.net *.split)
[00:41:32] *** Quits: leonardus (sid358597@id-358597.tinside.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: cloudcell (sid48145@id-48145.tinside.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: tardyp (sid45259@id-45259.ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: jameshjacks0njr_ (sid381910@user/jameshjacks0njr/x-7942062) (*.net *.split)
[00:41:32] *** Quits: Matthew_ (sid55177@wikimedia/matthewrbowker) (*.net *.split)
[00:41:32] *** Quits: jessicara (~shirogits@user/jessicara) (*.net *.split)
[00:41:32] *** Quits: snalty_ (~Shhh@user/snalty) (*.net *.split)
[00:41:32] *** Quits: lxdr (~lxdr@user/lxdr) (*.net *.split)
[00:41:32] *** Quits: redlegion (sid429547@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: angular_mike_ (sid45533@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: hughrawlinson_ (sid11243@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: ullbeking_ (sid5364@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: JackyB (sid514257@user/jackyb) (*.net *.split)
[00:41:32] *** Quits: OPK (~OPK@user/opk) (*.net *.split)
[00:41:32] *** Quits: utsuhorocks (~utsuhoroc@user/utsuhorocks) (*.net *.split)
[00:41:32] *** Quits: dgb_ (~dillon@ns513247.ip-167-114-157.net) (*.net *.split)
[00:41:33] *** Quits: GadgeteerZA (~quassel@user/gadgeteerza) (*.net *.split)
[00:41:33] *** Quits: nonchip (~quassel@mail.nonchip.de) (*.net *.split)
[00:41:33] *** Quits: Zubin (~rubin@ender.afternet.org) (*.net *.split)
[00:41:33] *** Quits: SirnoChan (~SirnoChan@user/sirnochan) (*.net *.split)
[00:41:33] *** Quits: whitenite (~whitenite@static.19.212.40.188.clients.your-server.de) (*.net *.split)
[00:41:33] *** Quits: seabre (~seabre@user/seabre) (*.net *.split)
[00:41:33] *** Quits: muep (~quassel@94-237-14-167.fi-hel2.upcloud.host) (*.net *.split)
[00:41:33] *** Quits: technically (~technical@user/technically) (*.net *.split)
[00:41:33] *** Quits: WayToDoor (~WayToDoor@user/waytodoor) (*.net *.split)
[00:41:33] *** Quits: arminweigl (~arminweig@sourcehut/user/arminweigl) (*.net *.split)
[00:41:33] *** Quits: JustSomeGoon (~justsomeg@user/justsomegoon) (*.net *.split)
[00:41:33] *** Quits: Hypfer (~Hypfer@user/hypfer) (*.net *.split)
[00:41:33] *** Quits: Joel (~jjshoe@user/joel) (*.net *.split)
[00:41:33] *** Quits: radiofree (~radiofree@user/radiofree) (*.net *.split)
[00:41:33] *** Quits: swistak (~swistak@185.21.216.141) (*.net *.split)
[00:41:33] *** Quits: matt_ (~matt@ns503600.ip-198-100-146.net) (*.net *.split)
[00:41:33] *** Quits: popey (~popey@ubuntu/member/popey) (*.net *.split)
[00:41:33] *** Quits: kaipee (~quassel@host31-54-129-14.range31-54.btcentralplus.com) (*.net *.split)
[00:41:33] *** Quits: thies (~thies@user/td00) (*.net *.split)
[00:41:33] *** Quits: CeBe (~cebe@zirc.m.cebe.net) (*.net *.split)
[00:41:33] *** Quits: sinned6915 (~sinned691@vmi438683.contaboserver.net) (*.net *.split)
[00:41:34] *** Quits: Swant (~swant@libera/staff/swant) (*.net *.split)
[00:41:34] *** Quits: Marc (~Marc@phpbb/management/marc) (*.net *.split)
[00:41:34] *** Quits: kenwoodfox (~quassel@user/kenwoodfox) (*.net *.split)
[00:41:34] *** Quits: dmt (~shrooms@znc.flexnet.org) (*.net *.split)
[00:41:34] *** Quits: [R] (~rs@genoce.org) (*.net *.split)
