[00:02:26] <jcowan> blueyoner: Schemers can has properly spelled names too
[00:03:24] <jcowan> I use `list` as a variable/argument name all the time, as long as I don't need the global `list` function in the same lexical scope
[00:05:06] <sham1> And one can of course assign another name for the global list function if they wish
[00:05:14] <sham1> Just in the lexical scope
[00:06:42] <jcowan> ISLisp does have a separate namespace for dynamic variables, using DEFDYNAMIC, DYNAMIC, LET-DYNAMIC, and (SETF (DYNAMIC.
[00:07:49] <jcowan> sham1: Yes
[00:08:46] *** Joins: Codaraxis (~Codaraxis@user/codaraxis)
[00:08:49] *** Joins: stkrdknmibalz (~test@rrcs-75-87-43-226.sw.biz.rr.com)
[00:23:35] *** Quits: dld (~dld@2620:6e:6000:2900:4c8f:59ca:20e7:8c51) (Ping timeout: 252 seconds)
[00:49:26] *** Quits: nature (~nature@45.32.235.173) (Ping timeout: 252 seconds)
[00:51:05] *** Joins: cjb (~cjb@user/cjb)
[00:51:28] *** Joins: Codaraxis_ (~Codaraxis@user/codaraxis)
[00:52:19] *** Joins: Algernon91 (~Algernon6@88.124.69.179)
[00:54:27] *** Joins: Algernon666 (~Algernon6@2a04:cec0:11ca:25f:c1b:1f06:29f:a3d)
[00:55:29] *** Quits: Codaraxis (~Codaraxis@user/codaraxis) (Ping timeout: 252 seconds)
[00:58:14] *** Quits: Algernon91 (~Algernon6@88.124.69.179) (Ping timeout: 252 seconds)
[01:02:40] *** Quits: shka (~herr@83.175.151.96.piasta.pl) (Ping timeout: 264 seconds)
[01:10:14] *** Quits: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (*.net *.split)
[01:10:14] *** Quits: zbrown[m] (~zbrownm]@2001:470:69fc:105::1:33db) (*.net *.split)
[01:10:14] *** Quits: jasom (~aidenn@2600:8802:7fa0:500:f833:278f:1567:d354) (*.net *.split)
[01:10:14] *** Quits: cosimone (~user@93-47-231-139.ip115.fastwebnet.it) (*.net *.split)
[01:10:14] *** Quits: tyson2 (~user@cpe00fc8d34ff03-cm00fc8d34ff00.sdns.net.rogers.com) (*.net *.split)
[01:10:14] *** Quits: rgherdt (~rgherdt@2a02:8109:86c0:d8d:e16c:4540:80bf:ba53) (*.net *.split)
[01:10:14] *** Quits: _0x1d3 (sid43116@id-43116.tinside.irccloud.com) (*.net *.split)
[01:10:14] *** Quits: aartaka (aartaka@gateway/vpn/protonvpn/aartaka) (*.net *.split)
[01:10:14] *** Quits: makomo (~makomo@user/makomo) (*.net *.split)
[01:10:14] *** Quits: Colt (~Colt@user/colt) (*.net *.split)
[01:10:14] *** Quits: letto2 (~letto@188.25.118.240) (*.net *.split)
[01:10:14] *** Quits: krl_ (~krl@h-158-174-122-239.A357.priv.bahnhof.se) (*.net *.split)
[01:10:15] *** Quits: stkrdknmibalz (~test@rrcs-75-87-43-226.sw.biz.rr.com) (*.net *.split)
[01:10:15] *** Quits: amb007 (~a_bakic@102.215.76.86.rev.sfr.net) (*.net *.split)
[01:10:15] *** Quits: sbodin (~Android@185.12.224.209) (*.net *.split)
[01:10:15] *** Quits: theothornhill (~user@217.84-49-191.nextgentel.com) (*.net *.split)
[01:10:15] *** Quits: justache (~justache@user/justache) (*.net *.split)
[01:10:15] *** Quits: strajder (~strajder@user/strajder) (*.net *.split)
[01:10:15] *** Quits: mononote (~mononote@user/mononote) (*.net *.split)
[01:10:15] *** Quits: Lord_of_Life (~Lord@user/lord-of-life/x-2819915) (*.net *.split)
