[00:02:14] *** Quits: mro (~mro@port-92-195-233-163.dynamic.as20676.net) (Quit: Leaving...)
[00:09:30] *** Quits: humasect (~humasect@2001:1970:57e0:4100::1ae0) (Remote host closed the connection)
[00:12:51] *** Quits: gravicappa (~gravicapp@145.255.1.142) (Ping timeout: 256 seconds)
[00:41:32] *** Quits: Boarders_ (sid425905@id-425905.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: JSharp (sid4580@id-4580.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: Fardale (~Fardale@fuyukaidesu.fardale.eu) (*.net *.split)
[00:41:32] *** Quits: cbarrett (sid192934@id-192934.helmsley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: olle (~olle@i5E866D87.versanet.de) (*.net *.split)
[00:41:32] *** Quits: Anarchos (~Anarchos@88.168.112.216) (*.net *.split)
[00:41:32] *** Quits: kurfen_ (~kurfen@213.152.188.7) (*.net *.split)
[00:41:32] *** Quits: hackinghorn (~hackingho@user/hackinghorn) (*.net *.split)
[00:41:32] *** Quits: xgqt (~xgqt@gentoo/developer/xgqt) (*.net *.split)
[00:41:32] *** Quits: ouestbillie (~gallup@192-222-138-215.qc.cable.ebox.net) (*.net *.split)
[00:41:33] *** Quits: Serpent7776 (~Serpent77@90-156-31-193.internetia.net.pl) (*.net *.split)
[00:41:33] *** Quits: perrierjouet (~perrier-j@modemcable012.251-130-66.mc.videotron.ca) (*.net *.split)
[00:41:33] *** Quits: towel (~towel@user/towel) (*.net *.split)
[00:41:33] *** Quits: mmalter (~mmalter@88.126.10.237) (*.net *.split)
[00:41:33] *** Quits: bgs (~bgs@cpe-212-85-160-171.cable.telemach.net) (*.net *.split)
[00:41:33] *** Quits: andreypopp (~andreypop@94.188.42.16) (*.net *.split)
[00:41:33] *** Quits: cross_ (~cross@spitfire.i.gajendra.net) (*.net *.split)
[00:41:33] *** Quits: williewillus (~williewil@user/williewillus) (*.net *.split)
[00:41:34] *** Quits: xenu (~xenu@carychium-tridentatum.xenu.pl) (*.net *.split)
[00:41:34] *** Quits: Geekingfrog (~geekingfr@li2156-64.members.linode.com) (*.net *.split)
[00:41:34] *** Quits: afrosenpai (~afrosenpa@li642-224.members.linode.com) (*.net *.split)
[00:41:34] *** Quits: Tuplanolla (~Tuplanoll@91-159-68-166.elisa-laajakaista.fi) (*.net *.split)
[00:41:34] *** Quits: waleee (~waleee@2001:9b0:21d:fc00:398f:b003:b90d:acf4) (*.net *.split)
[00:41:34] *** Quits: ralu (~ralu@static.211.245.203.116.clients.your-server.de) (*.net *.split)
[00:41:35] *** Quits: GreaseMonkey (greaser@user/greasemonkey) (*.net *.split)
[00:41:35] *** Quits: _whitelogger (~whitelogg@uruz.whitequark.org) (*.net *.split)
[00:41:35] *** Quits: ado (sid462155@id-462155.uxbridge.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: haesbaert (~haesbaert@195.95.187.184) (*.net *.split)
[00:41:35] *** Quits: gentauro (~gentauro@user/gentauro) (*.net *.split)
[00:41:35] *** Quits: motherfsck (~motherfsc@user/motherfsck) (*.net *.split)
[00:41:36] *** Quits: unyu (~pyon@user/pyon) (*.net *.split)
[00:41:36] *** Quits: nfc_ (nfc@tilde.institute) (*.net *.split)
[00:41:36] *** Quits: b0o (0e4a0bf4c9@2604:bf00:561:2000::1bf) (*.net *.split)
[00:41:36] *** Quits: reynir (root@user/reynir) (*.net *.split)
[00:41:36] *** Quits: slothby (~JoshAshby@irc.isin.space) (*.net *.split)
[00:41:36] *** Quits: jyc (sid40911@id-40911.ilkley.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: drewolson (~drewolson@user/drewolson) (*.net *.split)
[00:41:36] *** Quits: LACampbell (~lewis@granite-phrase.bnr.la) (*.net *.split)
[00:41:36] *** Quits: riverdc (~river@li1196-30.members.linode.com) (*.net *.split)
[00:41:36] *** Quits: dwt__ (~dwt_@c-98-198-103-176.hsd1.tx.comcast.net) (*.net *.split)
[00:41:37] *** Quits: landonf (landonf@mac68k.info) (*.net *.split)
[00:41:37] *** Quits: Armael (~Armael@macaron.isomorphis.me) (*.net *.split)
[00:41:37] *** Quits: dstein64 (~dstein64@dannyadam.com) (*.net *.split)
[00:41:37] *** Quits: sleepydog (~sleepydog@pool-100-33-241-236.nycmny.fios.verizon.net) (*.net *.split)
[00:41:37] *** Quits: mal`` (~mal``@static.38.6.217.95.clients.your-server.de) (*.net *.split)
[00:41:37] *** Quits: troydm (~troydm@host-176-37-124-197.b025.la.net.ua) (*.net *.split)
[00:41:37] *** Quits: ns12 (~ns12@user/ns12) (*.net *.split)
[00:41:37] *** Quits: wyrd (~wyrd@gateway/tor-sasl/wyrd) (*.net *.split)
[00:41:37] *** Quits: azimut (~azimut@gateway/tor-sasl/azimut) (*.net *.split)
[00:41:37] *** Quits: adanwan_ (~adanwan@gateway/tor-sasl/adanwan) (*.net *.split)
[00:41:37] *** Quits: romildo (~Romildo@191.5.84.202) (*.net *.split)
[00:41:37] *** Quits: chrisz (ctgsfjujn6@55d43e0c.access.ecotel.net) (*.net *.split)
[00:41:37] *** Quits: smondet[m] (~smondetma@2001:470:69fc:105::b33) (*.net *.split)
[00:41:38] *** Quits: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f) (*.net *.split)
[00:41:38] *** Quits: JosEduardo[m] (~joseemdsm@2001:470:69fc:105::ce1d) (*.net *.split)
[00:41:38] *** Quits: Soni (~quassel@autistic.space) (*.net *.split)
[00:41:38] *** Quits: d_bot_ (~d_bot@2001:4802:7800:1:be76:4eff:fe20:3027) (*.net *.split)
[00:41:38] *** Quits: pgiarrusso (sid258222@id-258222.hampstead.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: thizanne (~thibault@2001:41d0:a:f682::1) (*.net *.split)
[00:41:38] *** Quits: Techcable (~Techcable@168.235.93.147) (*.net *.split)
[00:41:38] *** Quits: theblatte (~theblatte@82-71-49-100.dsl.in-addr.zen.co.uk) (*.net *.split)
[00:41:38] *** Quits: Putonlalla (~sapekiis@it-cyan.it.jyu.fi) (*.net *.split)
[00:41:38] *** Quits: Enjolras (~enjolras@139.99.101.27) (*.net *.split)
[00:41:39] *** Quits: rgrinberg (~textual@2806:101e:7:6bed:e15c:b936:df3f:82e6) (*.net *.split)
[00:41:39] *** Quits: dmbaturin (~dmbaturin@vyos/developer/dmbaturin) (*.net *.split)
[00:41:39] *** Quits: energizer (~energizer@user/energizer) (*.net *.split)
[00:41:39] *** Quits: nore (~nore@217.69.13.67) (*.net *.split)
[00:41:40] *** Quits: copy (~copy@2604:a880:800:10::1e0a:8001) (*.net *.split)
[00:41:40] *** Quits: klu (~klu@user/klu) (*.net *.split)
[00:41:40] *** Quits: vicfred (~vicfred@user/vicfred) (*.net *.split)
[00:41:40] *** Quits: pieguy128 (~pieguy128@bras-base-mtrlpq5031w-grc-35-70-24-248-224.dsl.bell.ca) (*.net *.split)
[00:41:40] *** Quits: caasih (sid13241@ilkley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: m5zs7k (aquares@web10.mydevil.net) (*.net *.split)
[00:41:40] *** Quits: wagle (~wagle@quassel.wagle.io) (*.net *.split)
[00:41:40] *** Quits: rak (~rak@debian/rak) (*.net *.split)
[00:41:40] *** Quits: ansiwen (~sanders@vm1.a6n.de) (*.net *.split)
[00:41:40] *** Quits: Ekho (~Ekho@user/ekho) (*.net *.split)
[00:41:40] *** Quits: micro (~micro@user/micro) (*.net *.split)
[00:41:40] *** Quits: CalimeroTeknik (~calimero@user/calimeroteknik) (*.net *.split)
[00:41:40] *** Quits: ski (~ski@remote12.chalmers.se) (*.net *.split)
[00:41:40] *** Quits: tomku (~tomku@user/tomku) (*.net *.split)
[00:41:40] *** Quits: adrien (~adrien@nautica.notk.org) (*.net *.split)
[00:41:40] *** Quits: ebb (ebb@user/ebb) (*.net *.split)
[00:41:41] *** Quits: Haudegen (~quassel@178.115.237.87.static.drei.at) (*.net *.split)
[00:41:41] *** Quits: octachron_ (~octachron@2a01:4f8:1c1c:69ae::1) (*.net *.split)
