[00:00:34] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[00:05:46] <relipse> ok i figured it out
[00:05:46] <relipse> there was "=="
[00:05:46] <relipse> my copy pasting must have messed it up
[00:05:46] <relipse> now it works
[00:07:45] *** Quits: Albright (~Albright@149.28.13.173) (Quit: ZNC 1.8.2 - https://znc.in)
[00:08:55] *** Joins: Albright (~Albright@149.28.13.173)
[00:14:23] *** Joins: eXtr3m0 (~eXtr3m0@user/eXtr3m0)
[00:15:30] *** Quits: ordos (~ordos@user/ordos) (Remote host closed the connection)
[00:26:51] *** Quits: d3sync (~d3sync@62.1.158.240) (Read error: Connection reset by peer)
[00:27:19] *** Joins: d3sync (~d3sync@62.1.158.240)
[00:41:32] *** Quits: Tempesta (~Tempesta@user/tempesta) (*.net *.split)
[00:41:32] *** Quits: px4n (~px4n@user/px4n) (*.net *.split)
[00:41:32] *** Quits: michele (~eraser@user/michele) (*.net *.split)
[00:41:32] *** Quits: keypusher (keypusher@user/keypusher) (*.net *.split)
[00:41:33] *** Quits: mooz (~none@173.208.98.70) (*.net *.split)
[00:41:33] *** Quits: Vision (~Vision@097-087-115-181.res.spectrum.com) (*.net *.split)
[00:41:33] *** Quits: \mSg (mSg@user/msg/x-0285936) (*.net *.split)
[00:41:33] *** Quits: AnrDaemon (~ZNC@darkdragon-nln.starlink.ru) (*.net *.split)
[00:41:33] *** Quits: elycin_ (~elycin@ec2-54-163-129-255.compute-1.amazonaws.com) (*.net *.split)
[00:41:33] *** Quits: gonogo (~gonogo@167.88.62.87) (*.net *.split)
[00:41:33] *** Quits: infernix (~nix@spirit.infernix.net) (*.net *.split)
[00:41:33] *** Quits: axisys (~axisys@ec2-52-207-123-244.compute-1.amazonaws.com) (*.net *.split)
[00:41:33] *** Quits: UnknowingMind (~Unknowing@108.217.80.213) (*.net *.split)
[00:41:33] *** Quits: Stanley (~stanley@d66-183-88-69.bchsia.telus.net) (*.net *.split)
[00:41:33] *** Quits: gde33 (~gde33@84-106-154-98.cable.dynamic.v4.ziggo.nl) (*.net *.split)
[00:41:33] *** Quits: brentaarnold (~brentaarn@24.112.58.14) (*.net *.split)
[00:41:33] *** Quits: justGhost (~justache@user/justache) (*.net *.split)
[00:41:33] *** Quits: ham5 (~iamfive@user/ham5) (*.net *.split)
[00:41:33] *** Quits: cryocaustik7 (~cryocaust@user/cryocaustik) (*.net *.split)
[00:41:34] *** Quits: da_wunder (~wunder@dsl-jklbng11-54fa51-220.dhcp.inet.fi) (*.net *.split)
[00:41:34] *** Quits: Phil-Work (~phil@62.3.100.20) (*.net *.split)
[00:41:34] *** Quits: Norkle (~norkle@admin.nasa-g0v.com) (*.net *.split)
[00:41:34] *** Quits: DoubleJ (~DoubleJ@user/doublej) (*.net *.split)
[00:41:34] *** Quits: mintoyatsu (~mint@user/mintoyatsu) (*.net *.split)
[00:41:34] *** Quits: sgen (~sgen@2607:fea8:7ce1:c8e0:f141:ba0b:da0:3c4d) (*.net *.split)
[00:41:34] *** Quits: Koopz (~Koopz@koopz.rocks) (*.net *.split)
[00:41:35] *** Quits: vlm (~vlm@user/vlm) (*.net *.split)
[00:41:35] *** Quits: xep (~xep@76-210-4-7.lightspeed.sntcca.sbcglobal.net) (*.net *.split)
[00:41:35] *** Quits: Icedream (~icedream@hzn-b.serverkomplex.de) (*.net *.split)
[00:41:35] *** Quits: aloy (~luna@2001:41f0:3fe:3:30f9:22a5:2b5e:91f1) (*.net *.split)
[00:41:35] *** Quits: elastic_dog (~elastic_d@2a01:118f:822:9c00:f583:aa51:9ad4:d4fb) (*.net *.split)
[00:41:35] *** Quits: tercaL (~tercaL@user/tercal) (*.net *.split)
[00:41:35] *** Quits: miklcct (~quassel@vps.miklcct.com) (*.net *.split)
[00:41:35] *** Quits: hays (rootvegeta@fsf/member/hays) (*.net *.split)
[00:41:35] *** Quits: Furai (~Furai@furai.pl) (*.net *.split)
[00:41:35] *** Quits: jwpapi (sid502614@id-502614.uxbridge.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: Warped (~Warped@user/warped) (*.net *.split)
[00:41:35] *** Quits: Forza (~Forza@user/forza) (*.net *.split)
[00:41:35] *** Quits: sabet (~sabet@user/sabet) (*.net *.split)
[00:41:35] *** Quits: nate (NBishop@o.apocaleaps.com) (*.net *.split)
[00:41:35] *** Quits: qwedfg_ (~qwedfg@user/qwedfg) (*.net *.split)
[00:41:35] *** Quits: Oclair_ (~Oclair@nq3.aventia.pw) (*.net *.split)
[00:41:35] *** Quits: Blondie101010 (~Blondie10@user/blondie101010) (*.net *.split)
[00:41:35] *** Quits: fury (uid193779@id-193779.helmsley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: puff (~user@S0106d4ca6d80a83c.vs.shawcable.net) (*.net *.split)
