[00:05:20] *** Joins: ssiyad (~ssiyad@user/ssiyad)
[00:12:21] *** Quits: th3voic3 (th3voic3@user/th3voic3) (Quit: ZNC 1.8.2 - https://znc.in)
[00:12:33] *** Joins: th3voic3 (th3voic3@user/th3voic3)
[00:21:17] *** Joins: ff0x_ (~f0xy@gateway/tor-sasl/ff0x)
[00:21:42] *** Quits: ff0x (~f0xy@gateway/tor-sasl/ff0x) (Ping timeout: 276 seconds)
[00:21:42] *** ff0x_ is now known as ff0x
[00:30:06] *** Quits: blaub (~blaub@194-208-201-025.tele.net) (Quit: WeeChat 3.4)
[00:41:32] *** Quits: ktprograms (~ktprogram@14.192.221.217) (*.net *.split)
[00:41:33] *** Quits: lamarpavel (~Lamar@ipbcc0ea64.dynamic.kabel-deutschland.de) (*.net *.split)
[00:41:33] *** Quits: iggy (~iggy@23-114-170-204.lightspeed.irvnca.sbcglobal.net) (*.net *.split)
[00:41:33] *** Quits: dsv (~dsv@dver.se) (*.net *.split)
[00:41:33] *** Quits: ml (~ml@visu.li) (*.net *.split)
[00:41:33] *** Quits: futune (~futune@95.82.134.233) (*.net *.split)
[00:41:33] *** Quits: reset (~reset@user/reset) (*.net *.split)
[00:41:33] *** Quits: ThinkT510 (~auronanda@user/thinkt510) (*.net *.split)
[00:41:33] *** Quits: baiguai (~baiguai@c-73-181-176-71.hsd1.wa.comcast.net) (*.net *.split)
[00:41:33] *** Quits: pbnoxious (~pbnoxious@free.blinkenshell.org) (*.net *.split)
[00:41:33] *** Quits: hvxgr (~wl2v_usrn@epjdn.zq3q.org) (*.net *.split)
[00:41:33] *** Quits: pylbrecht_ (~pylbrecht@5.189.144.194) (*.net *.split)
[00:41:34] *** Quits: cnsvc- (~cnsvc@li541-179.members.linode.com) (*.net *.split)
[00:41:34] *** Quits: avakand (~avakand@static.164.226.201.195.clients.your-server.de) (*.net *.split)
[00:41:34] *** Quits: sudoforge (~sudoforge@wireguard/tunneler/sudoforge) (*.net *.split)
[00:41:34] *** Quits: anginapectoris (~anginapec@user/anginapectoris) (*.net *.split)
[00:41:35] *** Quits: brabrax (~brabrax@user/brabrax) (*.net *.split)
[00:41:35] *** Quits: elastic_dog (~elastic_d@2a01:118f:822:9c00:f583:aa51:9ad4:d4fb) (*.net *.split)
[00:41:35] *** Quits: koffeinfriedhof (~koffeinfr@ubuntuusers/moderation/koffeinfriedhof) (*.net *.split)
