[00:07:26] *** Joins: roshanavand (~roshanava@p200300d47f01a3006ae26b065900f0f0.dip0.t-ipconnect.de)
[00:15:01] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Quit: https://quassel-irc.org - Chat comfortably. Anywhere.)
[00:16:41] *** Joins: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net)
[00:17:10] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Client Quit)
[00:18:47] *** Joins: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net)
[00:34:02] *** Quits: sgnh (~sgnh@li1400-130.members.linode.com) (Ping timeout: 240 seconds)
[00:41:32] *** Quits: Tempesta (~Tempesta@user/tempesta) (*.net *.split)
[00:41:32] *** Quits: JSharp (sid4580@id-4580.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: oz (~oz@crystal/user/oz) (*.net *.split)
[00:41:32] *** Quits: JayDoubleu_ (sid339529@id-339529.hampstead.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: siasmj (sid6106@id-6106.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: mbarbar (~mbarbar@oak.xen.prgmr.com) (*.net *.split)
[00:41:32] *** Quits: Sheilong (uid293653@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: _ht (~quassel@231-169-21-31.ftth.glasoperator.nl) (*.net *.split)
[00:41:32] *** Quits: fercell (~ferr@185.65.50.97) (*.net *.split)
[00:41:32] *** Quits: goepsilongo (~goepsilon@cpe-74-73-86-74.nyc.res.rr.com) (*.net *.split)
[00:41:33] *** Quits: Aylat (~Aylat@user/Aylat) (*.net *.split)
[00:41:33] *** Quits: kaivai_ (~kaivai@user/kaivai) (*.net *.split)
[00:41:33] *** Quits: jimeh (jimeh@matrix.bah.io) (*.net *.split)
[00:41:33] *** Quits: quintasan (~quassel@quintasan.pl) (*.net *.split)
[00:41:33] *** Quits: swaggboi (~swaggboi@slackware.uk/supporter/swaggboi) (*.net *.split)
[00:41:33] *** Quits: weaksauc_ (~textual@ip68-5-101-101.oc.oc.cox.net) (*.net *.split)
[00:41:33] *** Quits: perrierjouet (~perrier-j@modemcable012.251-130-66.mc.videotron.ca) (*.net *.split)
[00:41:33] *** Quits: seabre (~seabre@user/seabre) (*.net *.split)
[00:41:33] *** Quits: infernix (~nix@spirit.infernix.net) (*.net *.split)
[00:41:33] *** Quits: axisys (~axisys@ec2-52-207-123-244.compute-1.amazonaws.com) (*.net *.split)
[00:41:33] *** Quits: constxd (~brad@142.167.170.88) (*.net *.split)
[00:41:33] *** Quits: reset (~reset@user/reset) (*.net *.split)
[00:41:33] *** Quits: justGhost (~justache@user/justache) (*.net *.split)
[00:41:33] *** Quits: mmalter (~mmalter@88.126.10.237) (*.net *.split)
[00:41:33] *** Quits: mahlon (~mahlon@martini.nu) (*.net *.split)
[00:41:33] *** Quits: Neopolitan (~tn5421@45.76.61.24) (*.net *.split)
[00:41:33] *** Quits: eam (~eam@li155-76.members.linode.com) (*.net *.split)
[00:41:34] *** Quits: ule (~ule@user/ule) (*.net *.split)
[00:41:34] *** Quits: havenwood (~havenwood@about/ruby/havenwood) (*.net *.split)
[00:41:34] *** Quits: pandabot (~pandabot@user/leftylink/bot/pandabot) (*.net *.split)
[00:41:34] *** Quits: benjaminwil (~benjaminw@benjaminwil.info) (*.net *.split)
[00:41:34] *** Quits: cnsvc- (~cnsvc@li541-179.members.linode.com) (*.net *.split)
[00:41:34] *** Quits: _axx (~axx@static.246.43.203.116.clients.your-server.de) (*.net *.split)
[00:41:34] *** Quits: yxhuvud (~quassel@2001:1ba8:1424:ea00::743) (*.net *.split)
[00:41:34] *** Quits: finsternis (~X@23.226.237.192) (*.net *.split)
[00:41:34] *** Quits: gproto23 (~gproto23@user/gproto23) (*.net *.split)
[00:41:34] *** Quits: Rounin (~david@84.212.130.215) (*.net *.split)
[00:41:34] *** Quits: ralu (~ralu@static.211.245.203.116.clients.your-server.de) (*.net *.split)
[00:41:35] *** Quits: mdemo (~mdemo@user/mdemo22) (*.net *.split)
[00:41:35] *** Quits: _whitelogger (~whitelogg@uruz.whitequark.org) (*.net *.split)
[00:41:35] *** Quits: frodl (sid527064@user/frodl) (*.net *.split)
[00:41:35] *** Quits: nebiros (nebiros@user/nebiros) (*.net *.split)
[00:41:35] *** Quits: graemefawcett (55322ea766@2604:bf00:561:2000::2ab) (*.net *.split)
[00:41:35] *** Quits: matta (2cdf936e70@2604:bf00:561:2000::3a0) (*.net *.split)
[00:41:35] *** Quits: Furai (~Furai@furai.pl) (*.net *.split)
[00:41:35] *** Quits: robotmay (~beepboop@2001:8b0:7af0:2580:fd44:ff9f:ea2:8811) (*.net *.split)
[00:41:35] *** Quits: Hobbyboy (Hobbyboy@hobbyboy.co.uk) (*.net *.split)
[00:41:35] *** Quits: Starfoxxes (~Starfoxxe@2a02:8070:5390:d00:12bf:48ff:feb8:38c8) (*.net *.split)
[00:41:35] *** Quits: mbrndtgn (~mbrndtgn@undecidable.de) (*.net *.split)
[00:41:35] *** Quits: danjo0 (~danjo@2001:a61:3a28:c01:8872:b83a:d3e1:21d) (*.net *.split)
[00:41:35] *** Quits: m_antis (~znc_admin@ool-44c09a21.dyn.optonline.net) (*.net *.split)
[00:41:35] *** Quits: joast (~rick@cpe-98-146-112-4.natnow.res.rr.com) (*.net *.split)
[00:41:35] *** Quits: sam113101 (~sam@modemcable229.128-202-24.mc.videotron.ca) (*.net *.split)
[00:41:35] *** Quits: weyhmueller (~weyhmuell@blofeld.nc.w9r.de) (*.net *.split)
[00:41:35] *** Quits: whysthatso125 (~whysthats@74-206-50-195.sta.estpak.ee) (*.net *.split)
[00:41:36] *** Quits: mixfix41 (~homefame@user/mixfix41) (*.net *.split)
[00:41:36] *** Quits: niv (~niv@limbo.cypherpunks.io) (*.net *.split)
[00:41:36] *** Quits: aighearach (~paris@user/aighearach) (*.net *.split)
[00:41:36] *** Quits: vigumnov (~victori@cpe-76-89-139-69.socal.res.rr.com) (*.net *.split)
[00:41:36] *** Quits: unyu (~pyon@user/pyon) (*.net *.split)
[00:41:36] *** Quits: ruby[bot] (bot@about/ruby/bot) (*.net *.split)
[00:41:36] *** Quits: tweaks (tweeeaks@user/tweeeaks) (*.net *.split)
[00:41:36] *** Quits: devz3ro (~devz3ro@user/devz3ro) (*.net *.split)
[00:41:36] *** Quits: g_sg (c415a3cd12@2604:bf00:561:2000::15e) (*.net *.split)
[00:41:36] *** Quits: brown121407 (1fd27a54a7@gnu/webmaster/smarton) (*.net *.split)
[00:41:36] *** Quits: hwrd (aa272caead@2604:bf00:561:2000::137) (*.net *.split)
[00:41:36] *** Quits: srushe (fa1e6d5062@2604:bf00:561:2000::ad) (*.net *.split)
[00:41:36] *** Quits: slothby (~JoshAshby@irc.isin.space) (*.net *.split)
[00:41:36] *** Quits: nemesit (~nemesit@myriadvisuals.com) (*.net *.split)
[00:41:36] *** Quits: kaleido (~adam@user/kaleido) (*.net *.split)
[00:41:36] *** Quits: lucerne (~lucerne@ip202.ip-51-178-215.eu) (*.net *.split)
[00:41:36] *** Quits: H4Z3 (~H4ZE@165.227.36.29) (*.net *.split)
[00:41:36] *** Quits: moo (~moo@beware.of.the.ass.ninja) (*.net *.split)
[00:41:36] *** Quits: r3my (sid262473@id-262473.tinside.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: pjlsergeant (sid143467@id-143467.hampstead.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: psb___ (sid500598@id-500598.ilkley.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: olspookishmagus (~pookie@snf-137798.vm.okeanos.grnet.gr) (*.net *.split)
[00:41:36] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (*.net *.split)
[00:41:37] *** Quits: dstein64 (~dstein64@dannyadam.com) (*.net *.split)
[00:41:37] *** Quits: HyLian_ (~meron@252.red-79-145-105.dynamicip.rima-tde.net) (*.net *.split)
[00:41:37] *** Quits: aindilis (~aindilis@152-44-40-72.us-chi1.upcloud.host) (*.net *.split)
[00:41:37] *** Quits: ox1eef (~0x1eef@user/ox1eef) (*.net *.split)
[00:41:37] *** Quits: yosafbridge (~yosafbrid@static.38.6.217.95.clients.your-server.de) (*.net *.split)
[00:41:37] *** Quits: leftylink (~leftylink@user/leftylink) (*.net *.split)
[00:41:37] *** Quits: fcser (~fcser@booty.farted.net) (*.net *.split)
[00:41:37] *** Quits: cornduck (~cornduck@gateway/tor-sasl/cornduck) (*.net *.split)
[00:41:37] *** Quits: aeris (~aeris@user/aeris) (*.net *.split)
[00:41:37] *** Quits: fowl (~fowlmouth@user/fowl) (*.net *.split)
[00:41:37] *** Quits: nyuszika7h (nyuszika7h@lykos/dev/nyuszika7h) (*.net *.split)
[00:41:37] *** Quits: r0bby (r0bby@user/r0bby) (*.net *.split)
[00:41:37] *** Quits: brw (~bas@haring.bas.sh) (*.net *.split)
[00:41:37] *** Quits: coolshaurya (~coolshaur@2001:470:69fc:105::fac0) (*.net *.split)
[00:41:38] *** Quits: manveru[m]1 (~manveruma@2001:470:69fc:105::c2d7) (*.net *.split)
[00:41:38] *** Quits: DenKn (~deac@2001:470:69fc:105::1:5ee2) (*.net *.split)
[00:41:38] *** Quits: pusewic|away__ (sid2036@id-2036.lymington.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: jposer (sid132110@id-132110.uxbridge.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: cout_ (~cout@li941-240.members.linode.com) (*.net *.split)
[00:41:38] *** Quits: belak (~belak@user/belak) (*.net *.split)
[00:41:38] *** Quits: NightMonkey (~NightMonk@user/nightmonkey) (*.net *.split)
[00:41:38] *** Quits: josephl (sid146137@id-146137.lymington.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: exondation (~wadii@2a01:e34:eca5:6c30:aa8e:d294:ea8:69fb) (*.net *.split)
[00:41:39] *** Quits: oxtyped[m] (~oxtyped2l@2001:470:69fc:105::1:8590) (*.net *.split)
[00:41:39] *** Quits: alex[m]12 (~alexchete@2001:470:69fc:105::1:1001) (*.net *.split)
[00:41:39] *** Quits: kinduff (~kinduff@user/kinduff) (*.net *.split)
[00:41:39] *** Quits: coffeejunk (sid16142@id-16142.hampstead.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: jtperreault (jtperreaul@2600:3c03::f03c:91ff:fe24:102a) (*.net *.split)
[00:41:39] *** Quits: depesz (~quassel@lana.depesz.com) (*.net *.split)
[00:41:39] *** Quits: cornett (~ben@149.28.239.26) (*.net *.split)
[00:41:39] *** Quits: bougyman (~bougyman@user/bougyman) (*.net *.split)
[00:41:39] *** Quits: Artea (~Lufia@artea.com.pt) (*.net *.split)
[00:41:39] *** Quits: mjanssen (~mpcjansse@2a01:4f9:c011:75e6::1) (*.net *.split)
[00:41:40] *** Quits: eof (~eof@tty3.dev) (*.net *.split)
[00:41:40] *** Quits: peder (4822@nidur.ifi.uio.no) (*.net *.split)
[00:41:40] *** Quits: jpw (~jpw@user/jpw) (*.net *.split)
[00:41:40] *** Quits: splud (~noneya.bi@user/splud) (*.net *.split)
