[00:02:08] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[00:03:50] *** Joins: sm2n (ae95cb1267@user/sm2n)
[00:10:09] *** Quits: badkins (~badkins@136.56.92.199) (Remote host closed the connection)
[00:11:05] *** Joins: badkins (~badkins@136.56.92.199)
[00:31:45] *** Quits: clacke (88d96f2df3@knopi.disroot.org) (Remote host closed the connection)
[00:37:38] <dpk> is chibi-ffi incapable of generating bindings to procedures with more than four arguments, or am i going mad
[00:37:43] <dpk> (i'm probably going mad)
[00:37:49] <dpk> it gives me "chibi_hyphen.c:25:27: error: use of undeclared identifier 'arg5'"
[00:37:59] <ecraven> I think they just aren't defined
[00:39:33] <dpk> or have i declared them wrong? they're pretty wacky argument types beginning with exactly that argument, making me suspect my way of declaring them is wrong
[00:39:46] <dpk> in C: char *** rep, int ** pos, int ** cut
[00:40:02] <dpk> (i have no idea why double and triple indirection is needed)
[00:40:12] <ecraven> probably for writing
[00:40:31] <ecraven> char ***rep is probably actually a string[]*
[00:43:55] <dpk> okay, yes, if i just change them to (result string), the error about arg5 being undefined goes away. (it then complains about the types being wrong, of course, but one step at a time …)
[00:44:17] <dpk> so the question is how i declare those types in the .stub file. or if i just give up and write the C binding myself
[00:44:25] <dpk> ecraven: yes, they're results
[00:45:07] <dpk> so i tried (result pointer string), (result (pointer string)), (pointer (result string)) for the first one …
[00:46:47] <dpk> any kind of nesting of the type modifiers seems to cause it not to generate the args to the C function correctly
[00:48:16] <dpk> ahh, you don't nest them, you list them. i was nearly there with (result pointer string)
[00:48:44] <ecraven> I haven't used the chibi ffi much, sorry :-/
[00:48:59] <ecraven> so (result pointer pointer string)?
[00:50:19] <amazigh> (someone told me to use dlopen...)
[00:51:05] *** Joins: cjb (~cjb@user/cjb)
[00:52:04] <ecraven> well, you shouldn't *need* to, right?
[00:52:08] <ecraven> this should be possible with the ffi
[00:53:07] <amazigh> I am just kidding with dpk 
[00:53:47] <dpk> (result string) turns into … char ** 🤨
[00:56:17] <sham1> result probably means that it's an output arg
[00:56:24] <dpk> yes, see https://synthcode.com/scheme/chibi/#h2_CFFI
[00:56:32] <sham1> Well in that case it makes sense
[01:06:47] *** Quits: badkins (~badkins@136.56.92.199) (Remote host closed the connection)
[01:10:14] *** Quits: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (*.net *.split)
[01:10:14] *** Quits: elderK (uid205007@id-205007.helmsley.irccloud.com) (*.net *.split)
[01:10:14] *** Quits: taylan (~taylan@user/taylan) (*.net *.split)
[01:10:14] *** Quits: Franciman (~Franciman@mx1.fracta.dev) (*.net *.split)
[01:10:14] *** Quits: rgherdt (~rgherdt@2a02:8109:86c0:d8d:e16c:4540:80bf:ba53) (*.net *.split)
[01:10:14] *** Quits: joast (~rick@cpe-98-146-112-4.natnow.res.rr.com) (*.net *.split)
[01:10:14] *** Quits: zwr (~zwr@2804:d45:b966:fb00:3ac9:5265:a79e:4a2a) (*.net *.split)
[01:10:15] *** Quits: mononote (~mononote@user/mononote) (*.net *.split)
[01:10:15] *** Quits: seninha (~seninha@user/seninha) (*.net *.split)
[01:10:16] *** Quits: sdu (~doo@185.44.146.165) (*.net *.split)
[01:10:16] *** Quits: qhong (~qhong@rescomp-21-400677.stanford.edu) (*.net *.split)
[01:10:16] *** Quits: Noisytoot (~noisytoot@sourcehut/user/noisytoot) (*.net *.split)
[01:10:16] *** Quits: ullbeking_ (sid5364@id-5364.ilkley.irccloud.com) (*.net *.split)
[01:10:16] *** Quits: shawn (~shawn_w@152.44.212.188) (*.net *.split)
[01:10:17] *** Quits: Oshawott (~archenoth@2604:3d09:681:f00:bda3:983e:438:ddd3) (*.net *.split)
[01:10:17] *** Quits: klu (~klu@user/klu) (*.net *.split)
[01:10:17] *** Quits: robin (~robin@user/terpri) (*.net *.split)
[01:10:17] *** Quits: mdhughes (~mdhughes@user/mdhughes) (*.net *.split)
[01:10:17] *** Quits: tokie (~strtok@thales.strtok.net) (*.net *.split)
[01:10:17] *** Quits: akarle (~akarle@user/akarle) (*.net *.split)
[01:10:17] *** Quits: h_m (~h_m@186-149-117-154.bitcointernet.co.za) (*.net *.split)
[01:10:17] *** Quits: ahlk (~user@2600:1700:31c0:3a10::43) (*.net *.split)
[01:10:17] *** Quits: d_run (sid83858@id-83858.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: rubin55 (sid175221@id-175221.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: choas (~lars@ppp-188-174-58-126.dynamic.mnet-online.de) (*.net *.split)
[01:10:18] *** Quits: nrr__ (sid20938@lymington.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: duncanm (sid287146@tinside.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: groovy (sid62069@hampstead.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: ozzymcduff (~mathieu@81-234-151-21-no94.tbcn.telia.com) (*.net *.split)
[01:10:18] *** Quits: rudybot (~luser@ec2-52-8-12-207.us-west-1.compute.amazonaws.com) (*.net *.split)
[01:10:18] *** Quits: hexology (~hexology@user/hexology) (*.net *.split)
[01:10:18] *** Quits: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44) (*.net *.split)
[01:10:18] *** Quits: Zipheir (~wcm@98.4.178.27) (*.net *.split)
[01:10:18] *** Quits: lockywol- (~lockywolf@vultr-seoul-openbsd.lockywolf.net) (*.net *.split)
[01:10:18] *** Quits: wingo_ (~wingo@li270-233.members.linode.com) (*.net *.split)
[01:10:18] *** Quits: Cathrinus (~meow@vyos/developer/Lulu) (*.net *.split)
[01:10:18] *** Quits: johnjay (~pi@192.142.100.50) (*.net *.split)
[01:10:19] *** Quits: kori (~kori@user/kori) (*.net *.split)
[01:10:19] *** Quits: GreaseMonkey (greaser@user/greasemonkey) (*.net *.split)
[01:10:19] *** Quits: oneofvalts (~oneofvalt@2001:19f0:6c01:2d9c:5400:2ff:fea2:a386) (*.net *.split)
[01:10:19] *** Quits: Menchers (Menchers@user/menchers) (*.net *.split)
[01:10:19] *** Quits: _________ (~nobody@user/noodly) (*.net *.split)
[01:10:19] *** Quits: cognemo (~cognemo@cpe-46-164-24-121.dynamic.amis.net) (*.net *.split)
[01:10:19] *** Quits: Oxyd (~oxyd@user/oxyd) (*.net *.split)
[01:10:19] *** Quits: DeeEff (~DeeEff@user/deeeff) (*.net *.split)
[01:10:19] *** Quits: eMBee (~eMBee@realss.com) (*.net *.split)
[01:10:20] *** Quits: nckx (~nckx@tobias.gr) (*.net *.split)
[01:10:20] *** Quits: dbohdan (~dbohdan@user/dbohdan) (*.net *.split)
[01:10:20] *** Quits: Irvise (~irvise@2001:470:69fc:105::84c) (*.net *.split)
[01:10:20] *** Quits: drakonis (drakonis@user/drakonis) (*.net *.split)
[01:10:20] *** Quits: dpk (~dpk@xn--issum-vva.nonceword.org) (*.net *.split)
[01:10:20] *** Quits: sheb (~sheb@31.223.228.71) (*.net *.split)
[01:10:20] *** Quits: ns12 (~ns12@user/ns12) (*.net *.split)
[01:10:20] *** Quits: sudden (~cat@user/sudden) (*.net *.split)
[01:10:20] *** Quits: rickbutton (sid410078@id-410078.helmsley.irccloud.com) (*.net *.split)
[01:10:21] *** Quits: mzan (~quassel@mail.asterisell.com) (*.net *.split)
[01:10:21] *** Quits: fgudin (fgudin@sdf-eu.org) (*.net *.split)
[01:10:21] *** Quits: pinoaffe (~pinoaffep@2a01:4f9:c010:3f2a:1:1:3:10) (*.net *.split)
[01:10:21] *** Quits: casaca (~casaca@user/casaca) (*.net *.split)
[01:10:21] *** Quits: AndrewYu (~andrew@user/andrewyu) (*.net *.split)
[01:10:21] *** Quits: emacsomancer (~emacsoman@136.60.128.68) (*.net *.split)
