[00:17:29] *** Quits: zer0bitz (~zer0bitz@dsl-hkibng31-54fabc-15.dhcp.inet.fi) (Read error: Connection reset by peer)
[00:20:45] *** Quits: anessen97 (~Anessen97@host-79-41-170-37.retail.telecomitalia.it) (Remote host closed the connection)
[00:21:00] *** Joins: ItsNotGoodName05 (~ItsNotGoo@c-73-83-144-140.hsd1.wa.comcast.net)
[00:23:04] *** Quits: ItsNotGoodName0 (~ItsNotGoo@c-73-83-144-140.hsd1.wa.comcast.net) (Ping timeout: 264 seconds)
[00:23:05] *** ItsNotGoodName05 is now known as ItsNotGoodName0
[00:32:49] *** Joins: anessen97 (~Anessen97@host-79-41-170-37.retail.telecomitalia.it)
[00:46:14] *** Joins: kacperinjo3 (kacperinjo@s46.mydevil.net)
[00:47:14] *** Quits: kacperinjo (kacperinjo@s46.mydevil.net) (Ping timeout: 252 seconds)
[00:47:14] *** kacperinjo3 is now known as kacperinjo
[00:54:17] *** Quits: amcintosh (~amcintosh@amcintosh.net) (Quit: Ping timeout (120 seconds))
[00:54:32] *** Joins: amcintosh (~amcintosh@amcintosh.net)
[00:54:48] *** Joins: doombaby5 (~doombaby@66.51.154.90)
[00:55:01] *** Joins: agd7 (~agd@user/agd)
[00:57:12] *** Quits: doombaby (~doombaby@66.51.154.90) (Ping timeout: 268 seconds)
[00:57:12] *** Quits: agd (~agd@user/agd) (Ping timeout: 268 seconds)
[00:57:12] *** doombaby5 is now known as doombaby
[00:57:13] *** agd7 is now known as agd
[01:10:13] *** Quits: agd (~agd@user/agd) (*.net *.split)
[01:10:13] *** Quits: amcintosh (~amcintosh@amcintosh.net) (*.net *.split)
[01:10:13] *** Quits: kacperinjo (kacperinjo@s46.mydevil.net) (*.net *.split)
[01:10:14] *** Quits: shr2 (~shrysr@user/shrysr) (*.net *.split)
[01:10:14] *** Quits: hi (~thelounge@80-115-29-244.cable.dynamic.v4.ziggo.nl) (*.net *.split)
[01:10:14] *** Quits: _0x1d3 (sid43116@id-43116.tinside.irccloud.com) (*.net *.split)
[01:10:14] *** Quits: panzeroceania (sid16210@id-16210.hampstead.irccloud.com) (*.net *.split)
[01:10:14] *** Quits: morgabra (sid500580@user/morgabra) (*.net *.split)
[01:10:14] *** Quits: l4yer (~l4yer@2a07-a880-3101-1051-a922-bb49-135a-4393.pool6.ovpn.com) (*.net *.split)
[01:10:14] *** Quits: Pixi_ (~Pixi@user/pixi) (*.net *.split)
[01:10:14] *** Quits: narf (~narf@87-121-73-110.dyn.launtel.net.au) (*.net *.split)
[01:10:14] *** Quits: t0xic0der (~thelounge@fedora/t0xic0der) (*.net *.split)
[01:10:14] *** Quits: genera (~Genera@user/genera) (*.net *.split)
[01:10:14] *** Quits: martums (~martums@user/martums) (*.net *.split)
[01:10:14] *** Quits: deetwelve (~deetwelve@user/deetwelve) (*.net *.split)
[01:10:14] *** Quits: jkovac1 (~jkovac1@user/jkovac1) (*.net *.split)
