[00:05:56] *** Joins: ravella (~ravella@user/ryanavella)
[00:08:27] *** Joins: ofh (~felix@61.68.64.167)
[00:09:40] *** Quits: yelnah (~felix@193-119-99-118.tpgi.com.au) (Ping timeout: 256 seconds)
[00:13:26] *** Quits: phaleth (~user@user/phaleth) (Quit: WeeChat 2.8)
[00:20:38] *** Quits: fwg (~fwg@user/fwg) (Quit: so long and thanks for all the fish.)
[00:30:04] *** Quits: km (znc@user/km) (Remote host closed the connection)
[00:41:32] *** Quits: Boarders_ (sid425905@id-425905.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: saolsen (sid26430@id-26430.lymington.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: wootehfoot (~wootehfoo@user/wootehfoot) (*.net *.split)
[00:41:32] *** Quits: notapenguin (~ryu@187.3.254.107) (*.net *.split)
[00:41:32] *** Quits: ofelas_ (~ofelas@ti0071a400-5198.bb.online.no) (*.net *.split)
[00:41:32] *** Quits: inr (~a@c-5817e555.040-159-73746f16.bbcust.telenor.se) (*.net *.split)
[00:41:33] *** Quits: Sawzall (~Sawzall@96-82-249-149-static.hfc.comcastbusiness.net) (*.net *.split)
[00:41:33] *** Quits: oats (~thomas@user/oats) (*.net *.split)
[00:41:33] *** Quits: frmdstryr (~jrm@172.58.203.83) (*.net *.split)
[00:41:33] *** Quits: cursey (~cursey@user/cursey) (*.net *.split)
[00:41:33] *** Quits: mgxm_ (~mgxm@user/mgxm) (*.net *.split)
[00:41:33] *** Quits: haliucinas (~haliucina@5.20.153.21) (*.net *.split)
[00:41:33] *** Quits: bgs (~bgs@cpe-212-85-160-171.cable.telemach.net) (*.net *.split)
[00:41:33] *** Quits: zig-irc-logger (~zig-irc-l@216.117.174.63) (*.net *.split)
[00:41:33] *** Quits: rtb_ (~calmdownb@li749-143.members.linode.com) (*.net *.split)
[00:41:34] *** Quits: drewr (~drew@user/drewr) (*.net *.split)
[00:41:34] *** Quits: amk (~amk@109.255.169.126) (*.net *.split)
[00:41:34] *** Quits: [R] (~rs@genoce.org) (*.net *.split)
[00:41:34] *** Quits: McKael (~mikael@82-64-95-224.subs.proxad.net) (*.net *.split)
[00:41:34] *** Quits: qbit (~qbit@ns2.suah.dev) (*.net *.split)
[00:41:34] *** Quits: chgr (~chgr@static.152.235.203.116.clients.your-server.de) (*.net *.split)
[00:41:34] *** Quits: Piraty (~irc@user/piraty) (*.net *.split)
[00:41:34] *** Quits: andrewrk (~andrewrk@mail.ziglang.org) (*.net *.split)
[00:41:34] *** Quits: koollman (~samson_t@user/koollman) (*.net *.split)
[00:41:34] *** Quits: flyx[m] (~flyxflyxo@mail.flyx.org) (*.net *.split)
[00:41:34] *** Quits: finsternis (~X@23.226.237.192) (*.net *.split)
[00:41:34] *** Quits: waleee (~waleee@2001:9b0:21d:fc00:398f:b003:b90d:acf4) (*.net *.split)
[00:41:34] *** Quits: Arnavion (arnavion@user/arnavion) (*.net *.split)
[00:41:35] *** Quits: livoreno (~livoreno@user/notzmv) (*.net *.split)
[00:41:35] *** Quits: de1b39 (~de1b39@50.39.101.17) (*.net *.split)
[00:41:35] *** Quits: Tekk (~tekk@89.45.224.61) (*.net *.split)
[00:41:35] *** Quits: GreaseMonkey (greaser@user/greasemonkey) (*.net *.split)
[00:41:35] *** Quits: noracodes (~quassel@2604:a880:2:d0::2299:a001) (*.net *.split)
[00:41:35] *** Quits: Bonstra (~Bonstra@val.bonstra.fr.eu.org) (*.net *.split)
[00:41:35] *** Quits: hanna_ (65c0ed9340@2604:bf00:561:2000::267) (*.net *.split)
[00:41:35] *** Quits: ifreund (2940d10f8b@user/ifreund) (*.net *.split)
[00:41:35] *** Quits: cyplo (2df7beb64c@2604:bf00:561:2000::28d) (*.net *.split)
[00:41:35] *** Quits: novakane (ca74a093b3@user/novakane) (*.net *.split)
[00:41:35] *** Quits: terinjokes (~terinjoke@2604:a880:2:d0::227b:f001) (*.net *.split)
[00:41:35] *** Quits: buhman (sid411355@user/buhman) (*.net *.split)
[00:41:35] *** Quits: yrashk_ (sid1568@id-1568.lymington.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: trainsley69_ (~trainsley@c188-148-14-166.bredband.tele2.se) (*.net *.split)
[00:41:35] *** Quits: yeti (~username@user/yeti) (*.net *.split)
[00:41:35] *** Quits: reductum (~reductum@2603-8000-b400-8764-dea6-32ff-fe16-a622.res6.spectrum.com) (*.net *.split)
[00:41:35] *** Quits: joast (~rick@cpe-98-146-112-4.natnow.res.rr.com) (*.net *.split)
[00:41:35] *** Quits: semarie (~semarie@user/semarie) (*.net *.split)
[00:41:35] *** Quits: rovanion (~rovanion@h-46-59-13-236.A163.priv.bahnhof.se) (*.net *.split)
[00:41:36] *** Quits: outfox (~outfox@user/outfox) (*.net *.split)
[00:41:36] *** Quits: nemith (~bbennett@coachz.brbe.net) (*.net *.split)
[00:41:36] *** Quits: af (~af@awalgarg.me) (*.net *.split)
[00:41:36] *** Quits: raghavgururajan (ea769b8000@user/raghavgururajan) (*.net *.split)
[00:41:36] *** Quits: weslem (32012e016f@2604:bf00:561:2000::12f) (*.net *.split)
[00:41:36] *** Quits: coder_kalyan (2c72974719@user/coderkalyan) (*.net *.split)
[00:41:36] *** Quits: bmp (b6cc5e8850@2604:bf00:561:2000::184) (*.net *.split)
[00:41:36] *** Quits: slind (e19c209508@2604:bf00:561:2000::17a) (*.net *.split)
[00:41:36] *** Quits: sm2n (ae95cb1267@user/sm2n) (*.net *.split)
[00:41:36] *** Quits: leon-p (1b22ab9492@2604:bf00:561:2000::18c) (*.net *.split)
[00:41:36] *** Quits: tdmm (1c9b9145fc@2604:bf00:561:2000::1c8) (*.net *.split)
[00:41:36] *** Quits: ManDeJan (3da94070ba@user/mandejan) (*.net *.split)
[00:41:36] *** Quits: fleg (dfbb34cb39@user/fleg) (*.net *.split)
[00:41:36] *** Quits: psnszsn (7fe6b73f65@user/psnsn) (*.net *.split)
[00:41:36] *** Quits: colbyhub (411e4f2740@2604:bf00:561:2000::2de) (*.net *.split)
[00:41:36] *** Quits: patwid (3da977342f@user/patwid) (*.net *.split)
[00:41:36] *** Quits: powerofzero (c2b6947721@user/powerofzero) (*.net *.split)
[00:41:36] *** Quits: lizog (75b54f24ba@2604:bf00:561:2000::14d) (*.net *.split)
