[00:00:34] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[00:03:38] *** Joins: jmdaemon (~jmdaemon@user/jmdaemon)
[00:09:41] *** Quits: jmdaemon (~jmdaemon@user/jmdaemon) (Ping timeout: 250 seconds)
[00:12:52] *** Joins: jmdaemon (~jmdaemon@user/jmdaemon)
[00:15:57] *** Joins: Pseudocrat (~sudo@user/pseudocrat)
[00:16:57] *** Joins: SchmoSeph (uid530771@tinside.irccloud.com)
[00:19:39] *** Quits: Szadek (~Szadek@185.209.196.178) (Ping timeout: 256 seconds)
[00:19:45] *** Joins: m0viefreak (~asdf@user/m0viefreak)
[00:20:33] *** Quits: Pseudocrat (~sudo@user/pseudocrat) (Ping timeout: 256 seconds)
[00:21:29] *** Joins: ssiyad (~ssiyad@user/ssiyad)
[00:21:31] *** Joins: Szadek (~Szadek@92.60.40.220)
[00:25:35] *** Quits: Hackerpcs (~user@user/hackerpcs) (Quit: Hackerpcs)
[00:26:55] *** Quits: greedom (~greedom@p200300de670bd40051fc70826c4f164d.dip0.t-ipconnect.de) ()
[00:27:53] *** Joins: Hackerpcs (~user@user/hackerpcs)
[00:28:40] *** Quits: Hackerpcs (~user@user/hackerpcs) (Max SendQ exceeded)
[00:28:41] *** Joins: andril (~andril@c-66-229-99-96.hsd1.fl.comcast.net)
[00:29:38] *** Joins: Hackerpcs (~user@user/hackerpcs)
[00:41:32] *** Quits: d1rewolf (sid312924@id-312924.helmsley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: trevors (~trevors@user/trevors) (*.net *.split)
[00:41:32] *** Quits: skylite (~skylite@2E6B2CD6.catv.pool.telekom.hu) (*.net *.split)
[00:41:32] *** Quits: michele (~eraser@user/michele) (*.net *.split)
[00:41:32] *** Quits: danielsh_ (~danielsh@zsh/developer/danielsh) (*.net *.split)
[00:41:32] *** Quits: wootehfoot (~wootehfoo@user/wootehfoot) (*.net *.split)
[00:41:32] *** Quits: japh (~scp1@user/japh) (*.net *.split)
[00:41:32] *** Quits: keypusher (keypusher@user/keypusher) (*.net *.split)
[00:41:32] *** Quits: nickel8448 (~rahulwadh@147.80.76.34.bc.googleusercontent.com) (*.net *.split)
[00:41:33] *** Quits: kaivai_ (~kaivai@user/kaivai) (*.net *.split)
[00:41:33] *** Quits: cd (moony@hellomouse/dev/moony) (*.net *.split)
[00:41:33] *** Quits: CrashOverride (~strcat@p5485427d.dip0.t-ipconnect.de) (*.net *.split)
[00:41:33] *** Quits: sdu (~sidu@185.44.146.61) (*.net *.split)
[00:41:33] *** Quits: Kulrak (Kulrak@n122-109-158-59.rdl2.qld.optusnet.com.au) (*.net *.split)
[00:41:33] *** Quits: APic (~apic@apic.name) (*.net *.split)
[00:41:33] *** Quits: agireud (~agireud@user/agireud) (*.net *.split)
[00:41:33] *** Quits: TheCoffeMaker (~TheCoffeM@user/thecoffemaker) (*.net *.split)
[00:41:33] *** Quits: Keridos (~Keridos@ironhide.de) (*.net *.split)
[00:41:33] *** Quits: ft (~ft@shell.chaostreff-dortmund.de) (*.net *.split)
[00:41:33] *** Quits: FoH (~foh@user/foh) (*.net *.split)
[00:41:33] *** Quits: reset (~reset@user/reset) (*.net *.split)
[00:41:33] *** Quits: brentaarnold (~brentaarn@24.112.58.14) (*.net *.split)
[00:41:33] *** Quits: voidcat (~voidcat@user/voidcat) (*.net *.split)
[00:41:33] *** Quits: mcglk (~mcglk@131.191.49.120) (*.net *.split)
[00:41:33] *** Quits: piyo (~user@KBMfx-101p2-101.ppp11.odn.ad.jp) (*.net *.split)
[00:41:33] *** Quits: webstran- (~webstrand@user/webstrand) (*.net *.split)
[00:41:33] *** Quits: Mikachu (~Mikachu@zsh/developer/Mikachu) (*.net *.split)
[00:41:33] *** Quits: cryocaustik7 (~cryocaust@user/cryocaustik) (*.net *.split)
[00:41:34] *** Quits: scoobydoo (~scooby@user/scoobydoo) (*.net *.split)
[00:41:34] *** Quits: mehmedbasic (~quassel@85.191.76.100) (*.net *.split)
[00:41:34] *** Quits: kvn (~weechat@user/kvn) (*.net *.split)
[00:41:34] *** Quits: yamchah2 (~yamchah2@user/yamchah2) (*.net *.split)
[00:41:34] *** Quits: gl0woo (~gl0woozzz@phobos.whatbox.ca) (*.net *.split)
[00:41:34] *** Quits: Spydar007 (~spydar007@user/spydar007) (*.net *.split)
[00:41:34] *** Quits: mika (~mika@odysseus.grml.info) (*.net *.split)
[00:41:34] *** Quits: ecool (~ecool@ecool.dev) (*.net *.split)
[00:41:34] *** Quits: dmc (~dmc@archlinux/trusteduser/polyzen) (*.net *.split)
[00:41:34] *** Quits: les_ (~whome@user/les) (*.net *.split)
[00:41:34] *** Quits: machabot (~machabot@zsh/bot/machabot) (*.net *.split)
[00:41:34] *** Quits: zayita (~zayita@zsh/bot/zayita) (*.net *.split)
[00:41:34] *** Quits: Ganneff (~joerg@debian/joerg) (*.net *.split)
[00:41:34] *** Quits: Soliton (~Soliton@wesnoth/developer/soliton) (*.net *.split)
[00:41:34] *** Quits: finsternis (~X@23.226.237.192) (*.net *.split)
[00:41:34] *** Quits: larryv (~larryv@zsh/patchmanager/larryv) (*.net *.split)
[00:41:34] *** Quits: sgen (~sgen@2607:fea8:7ce1:c8e0:f141:ba0b:da0:3c4d) (*.net *.split)
[00:41:34] *** Quits: lxsameer (lxsameer@user/lxsameer) (*.net *.split)
[00:41:34] *** Quits: cdown (~cdown@163.114.131.1) (*.net *.split)
[00:41:34] *** Quits: beco (~beco@2804:351c:dd01:b700:1b03:6b85:20d4:ad73) (*.net *.split)
[00:41:34] *** Quits: xx (~xx@user/xx) (*.net *.split)
[00:41:34] *** Quits: gr33nR10t (~greenriot@user/gr33nr10t) (*.net *.split)
[00:41:34] *** Quits: markmcb (~markmcb@193.27.13.153) (*.net *.split)
[00:41:35] *** Quits: maetthew (~maetthew@user/maetthew) (*.net *.split)
[00:41:35] *** Quits: bertptrs (~quassel@user/bertptrs) (*.net *.split)
[00:41:35] *** Quits: Linkandzelda (~Linkandze@cloudirc.laz.li) (*.net *.split)
[00:41:35] *** Quits: jiqiren (~jiqiren@oh-hi.org) (*.net *.split)
[00:41:35] *** Quits: moritzdietz (~moritzdie@user/moritzdietz) (*.net *.split)
[00:41:35] *** Quits: juwain_ (sid442910@id-442910.helmsley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: micr0 (6f43d0f06f@user/micr0) (*.net *.split)
[00:41:35] *** Quits: _xor (~xor@dsl-50-5-233-169.fuse.net) (*.net *.split)
[00:41:35] *** Quits: zotan (zotan@destiny.zotan.network) (*.net *.split)
[00:41:35] *** Quits: mlk8715 (~mlk@0x573e65e3.static.cust.fastspeed.dk) (*.net *.split)
[00:41:35] *** Quits: nimaje (~nimaje@bureaucracy.bureaucracy.de) (*.net *.split)
[00:41:35] *** Quits: joast (~rick@cpe-98-146-112-4.natnow.res.rr.com) (*.net *.split)
